NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"29bp 11",42.54,36.27,35.63,34.3,25.16
"29bp 11",45.22,30.51,37.99,38.96,22.96
"29bp 11",48.18,30.4,37.69,41.56,24.38
"29bp 11",40.65,25.38,34.71,36.72,17.42
"29bp 11",42.11,21.4,32.97,39.21,15.36
"29bp 11",42.58,27.11,33.71,37.9,19.4
"29bp 11",41.49,27.91,32.32,36.66,19.42
"29bp 11",50.26,27.86,35.95,44.44,23.49
"29bp 11",42.97,25.44,33.08,38.8,18.46
"29bp 11",51.72,31.16,40.36,44.26,26.76
"29bp 11",35.52,24.83,34.48,32.24,14.92
"29bp 11",38.19,23.29,32.44,35.08,15.1
"29bp 11",37.87,24.34,34.19,34.51,15.61
"29bp 11",49.01,25.47,34.97,44.24,21.08
"29bp 11",52.44,26.35,36.55,46.99,23.28
"29bp 11",41.7,28.22,31.03,36.74,19.71
"29bp 11",45,24.61,34.97,40.91,18.74
"29bp 11",43.14,26.7,30.28,38.54,19.38
"29bp 11",51.31,31.27,38.27,43.86,26.63
"29bp 11",49.1,29.93,38.02,42.55,24.49
"29bp 11",46.72,28.01,33.7,41.25,21.94
"29bp 11",40.06,24.98,35.64,36.31,16.92
"29bp 11",41.24,23.86,32.67,37.71,16.68
"29bp 11",55.44,31.39,41.27,47.32,28.88
"29bp 11",47.31,27.16,34.99,42.09,21.6
"29bp 11",46.96,27.57,35.54,41.63,21.74
"29bp 11",40.66,29.4,34.7,35.42,19.96
"29bp 11",38.45,23.72,31.28,35.2,15.47
"29bp 11",41.77,25.27,34.55,37.77,17.83
"29bp 11",33.92,22.41,30.13,31.36,12.93
"29bp 11",43.78,31.52,39.25,37.32,22.89
"29bp 11",48.63,32.68,42.34,40.93,26.25
"29bp 11",48.05,34.71,42.45,39.5,27.36
"29bp 11",51.49,27.73,37.26,45.58,23.96
"29bp 11",51.95,26.95,37.27,46.31,23.54
"29bp 11",45.76,26.35,35.05,41.01,20.31
"29bp 11",44.45,24.8,37.89,40.35,18.65
"29bp 11",33.42,25.7,30.28,30.12,14.49
"29bp 11",45.74,27.85,30.06,40.44,21.37
"29bp 11",41.56,26.85,36.29,37.08,18.77
"29bp 11",44.03,39.4,51.54,34.02,27.95
"29bp 11",47.64,31.69,41.1,40.54,25.03
"29bp 11",48.52,33.32,42.46,40.54,26.65
"29bp 11",49.06,35.18,46.15,40.09,28.27
"29bp 11",34.67,44.42,44.16,24.76,24.27
"29bp 11",51.79,33.99,43.64,42.95,28.95
"29bp 11",48.19,30.55,40.83,41.5,24.49
"29bp 11",52.99,32.94,43.09,44.47,28.82
"29bp 11",52.27,29.64,39.24,45.43,25.85
"29bp 11",41.55,24.5,32.8,37.81,17.23
"29bp 11",36.2,22.57,31.53,33.43,13.89
