NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"apae 1",40.49,29.39,38.21,35.27,19.87
"apae 1",45.72,32.01,35.82,38.77,24.23
"apae 1",40.67,24.89,36.23,36.9,17.12
"apae 1",38.54,29.05,35.55,33.69,18.72
"apae 1",48.22,32.47,43.29,40.68,25.89
"apae 1",45.67,31.51,40.88,38.94,23.87
"apae 1",41.16,31.07,37.53,35.26,21.24
"apae 1",41.41,27.51,37.34,36.72,19.12
"apae 1",39.7,26.54,34.62,35.52,17.74
"apae 1",43.1,31.22,38.86,36.86,22.34
"apae 1",40.03,33.53,40.18,33.36,22.11
"apae 1",37.51,33.14,38.24,31.41,20.5
"apae 1",38.87,24.77,34.99,35.3,16.29
"apae 1",46.38,28.42,39.89,40.79,22.07
"apae 1",40.49,24.87,33.61,36.74,17.03
"apae 1",38.28,25.35,34.57,34.6,16.39
"apae 1",39.38,31.9,29.48,33.43,20.81
"apae 1",42.63,28.57,37.85,37.44,20.39
"apae 1",47.78,28.57,34.95,41.96,22.85
"apae 1",38.15,28.13,38.44,33.64,17.98
"apae 1",33.75,24.94,33.75,30.6,14.23
"apae 1",40.8,26.65,36.11,36.47,18.3
"apae 1",45.59,28.51,38.65,40.06,21.76
"apae 1",41.55,29.42,40.49,36.19,20.41
"apae 1",47.11,31.06,33.11,40.35,24.31
"apae 1",37.06,37.95,42.53,29.23,22.79
"apae 1",42.51,37.16,41.4,33.88,25.68
"apae 1",43.53,23.92,32.87,39.79,17.65
"apae 1",39.62,32.21,39.79,33.52,21.12
"apae 1",45.7,37.67,48.83,36.17,27.92
"apae 1",37.16,38.66,44.44,29.02,23.22
"apae 1",42.02,28.23,35.86,37.02,19.88
"apae 1",38.39,37.54,46.59,30.44,23.39
"apae 1",46.11,30.2,36.85,39.85,23.19
"apae 1",49.4,27.7,40.27,43.74,22.96
"apae 1",52.98,31.83,42.3,45.02,27.95
"apae 1",45.32,29.33,36.36,39.51,22.2
"apae 1",41.08,29.82,33.8,35.64,20.43
"apae 1",48.55,37.08,42.2,38.73,29.27
"apae 1",44.9,29.29,37.97,39.16,21.96
"apae 1",37.03,26.71,32.81,33.08,16.64
"apae 1",43.33,27.6,33.65,38.4,20.08
"apae 1",40.01,24.55,32.06,36.39,16.62
"apae 1",47.63,26.94,37.64,42.46,21.58
"apae 1",48.19,30.29,38.98,41.61,24.31
"apae 1",41.58,31.69,38.26,35.38,21.84
"apae 1",46.56,36.3,39.79,37.52,27.57
"apae 1",46.88,41.68,52.74,35.01,31.18
"apae 1",46.64,27.46,36.64,41.38,21.5
"apae 1",42.76,23.54,33.56,39.2,17.08
"apae 1",42.06,26.27,36.95,37.72,18.62
"apae 1",40.06,22.48,30.7,37.02,15.32
"apae 1",42.35,26.56,34.94,37.88,18.93
"apae 1",44.58,28.16,37.46,39.31,21.04
"apae 1",43.6,27.07,37.02,38.83,19.84
"apae 1",47.05,33.61,40.59,39.18,26.05
"apae 1",41.81,26.02,35.37,37.58,18.34
"apae 1",43.84,28.17,34.77,38.65,20.7
"apae 1",45.07,27.75,38,39.89,20.99
"apae 1",40.14,23.38,34.07,36.84,15.93
"apae 1",41.65,24.18,34.41,37.99,17.06
"apae 1",45.35,28.27,35.97,39.94,21.48
"apae 1",38.13,31.15,37.61,32.63,19.72
"apae 1",50.06,29.73,39.25,43.47,24.82
"apae 1",49.35,30.99,37.46,42.3,25.41
"apae 1",47.47,28.5,37.29,41.72,22.65
"apae 1",43.15,25.34,34.87,39,18.47
"apae 1",51.37,32.38,38.87,43.38,27.51
"apae 1",47.05,25.34,33.81,42.53,20.14
"apae 1",38.88,22.33,33.16,35.97,14.78
"apae 1",50.11,29.21,39.16,43.74,24.45
"apae 1",49.79,29.42,38.43,43.37,24.46
"apae 1",49.07,32.21,40.43,41.51,26.15
"apae 1",54.55,37.24,47.3,43.43,33.01
"apae 1",54.82,33.48,42.97,45.73,30.24
"apae 1",51.26,29.78,39.12,44.48,25.46
"apae 1",44.04,28.71,38.64,38.62,21.15
"apae 1",46.91,31.71,40.95,39.91,24.65
"apae 1",48.7,32.5,39.12,41.08,26.16
"apae 1",35.02,25.67,34.11,31.57,15.17
"apae 1",33.22,25.87,32.74,29.89,14.5
"apae 1",37.35,24.94,34.91,33.87,15.75
"apae 1",36.2,28.06,33.5,31.94,17.03
"apae 1",38.34,24.7,35.35,34.83,16.02
"apae 1",39.1,32.38,37.64,33.02,20.94
"apae 1",31.88,33.92,35.85,26.46,17.79
"apae 1",31.05,32.86,35.05,26.08,16.85
"apae 1",34.7,23.66,32.96,31.78,13.92
"apae 1",42.26,30.92,32.63,36.25,21.71
"apae 1",43.73,30.62,34.63,37.63,22.27
"apae 1",45.72,31.62,37.56,38.93,23.97
"apae 1",42.7,25.91,33.1,38.41,18.66
"apae 1",44.24,25.3,33.65,39.99,18.9
"apae 1",42.36,28.75,35.81,37.14,20.38
"apae 1",43.75,34.03,36.39,36.26,24.49
"apae 1",40.33,25.71,33.52,36.34,17.49
"apae 1",44.32,29.69,35.22,38.5,21.95
"apae 1",39.38,29.98,35.32,34.11,19.67
"apae 1",41.86,30.39,35.64,36.11,21.18
"apae 1",45.12,33.92,36.74,37.44,25.18
"apae 1",44.69,27.09,35.53,39.79,20.35
"apae 1",51.36,36.83,41.85,41.11,30.79
"apae 1",49.13,35.17,38.63,40.16,28.3
