NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"apel 14",38.56,25.75,35.07,34.73,16.75
"apel 14",38.81,27.65,35.78,34.38,18.01
"apel 14",47.79,30.1,36.9,41.35,23.96
"apel 14",41.92,33.15,40.55,35.1,22.92
"apel 14",39.56,29.78,39.5,34.34,19.64
"apel 14",33.24,97.82,65.57,-4.52,32.93
"apel 14",33.87,104.36,64.97,-8.4,32.81
"apel 14",34.08,96.67,65.39,-3.96,33.85
"apel 14",45.13,32.74,39.67,37.96,24.41
"apel 14",30.73,26.78,33.65,27.44,13.85
"apel 14",38.16,30.53,38.39,32.87,19.38
"apel 14",40.01,22.98,33.3,36.84,15.63
"apel 14",31.66,22.22,32.51,29.31,11.97
"apel 14",41.24,34.17,39.87,34.12,23.16
"apel 14",42.19,25.18,37.04,38.18,17.95
"apel 21",42.23,28.25,39.02,37.2,19.99
"apel 21",47.19,31.23,40.43,40.35,24.47
"apel 21",48.34,30.09,42.32,41.83,24.23
"apel 21",44.9,32.77,43.39,37.75,24.3
"apel 21",51.47,32.74,41.82,43.29,27.84
"apel 21",46.69,28.62,37.33,40.99,22.36
"apel 21",39.33,32.31,35.87,33.24,21.02
"apel 21",46.27,28.53,37.88,40.65,22.1
"apel 21",39.97,26.92,35.79,35.64,18.1
"apel 21",37.83,33.01,39.96,31.72,20.61
"apel 21",47.04,29.8,36.85,40.82,23.38
"apel 21",45.37,32.31,38.85,38.34,24.25
"apel 21",45.86,30.56,41.99,39.49,23.32
"apel 21",55.7,34.27,40.56,46.03,31.36
"apel 21",45.5,31.06,42.22,38.98,23.48
"apel 21",40.57,27.26,40.7,36.07,18.58
"apel 21",53.84,32.95,38.17,45.18,29.28
"apel 21",53.75,37.46,46.16,42.67,32.69
"apel 21",46.18,32.56,41.67,38.92,24.86
"apel 21",50.09,29.71,42.32,43.5,24.83
"apel 21",43.34,24.12,36.54,39.56,17.71
"apel 21",51.5,34.14,38.52,42.63,28.9
"apel 21",45.99,25.53,40.88,41.5,19.82
"apel 21",53.88,30.33,42.25,46.51,27.21
"apel 21",48.49,31.99,41.22,41.13,25.68
"apel 21",49.9,30.21,40.32,43.12,25.11
"apel 21",47.59,30.78,38.64,40.88,24.35
"apel 21",47.86,35.98,44.07,38.73,28.12
"apel 23",44.49,24.73,34.43,40.41,18.61
"apel 23",44.7,28.85,37.75,39.16,21.57
"apel 23",49.7,29.81,38.92,43.12,24.71
"apel 23",52.69,34.86,45.98,43.23,30.11
"apel 23",51.61,27.13,34.9,45.93,23.53
"apel 23",52.74,29.19,36.45,46.04,25.73
"apel 23",49.53,27.55,37.67,43.91,22.91
"apel 23",41.94,26.11,32.17,37.66,18.46
"apel 23",48.49,31.61,38.69,41.3,25.42
"apel 23",49.7,24.47,38.05,45.24,20.59
"apel 23",48.01,24.92,36.74,43.54,20.23
"apel 23",43.57,21.63,35.35,40.5,16.06
"apel 23",50.55,27.85,37.6,44.7,23.62
"apel 39",49.03,27.56,36.05,43.47,22.69
"apel 39",50.37,29.48,40.27,43.85,24.79
"apel 39",46.09,28.59,37.9,40.48,22.06
"apel 39",49.6,29.83,37.79,43.03,24.67
"apel 39",44.38,27.16,36.82,39.49,20.26
"apel 39",45.51,110.65,54.01,-16.05,42.58
"apel 39",45.78,107.27,55.83,-13.59,43.71
"apel 39",43.94,108.12,55.95,-13.67,41.76
"apel 39",41.89,26.9,32.17,37.36,18.95
"apel 39",41.08,30.93,35.89,35.24,21.12
"apel 39",48,32.88,38.76,40.31,26.06
"apel 39",46.98,27.58,35.6,41.64,21.75
"apel 39",46.06,31.73,37.41,39.18,24.22
"apel 39",51.42,26.11,36.11,46.17,22.63
"apel 39",51.66,30.8,42.04,44.37,26.46
"apel 39",47,24.93,34.45,42.62,19.81
"apel 39",42.55,40.42,44.31,32.39,27.59
"apel 39",48.21,30.01,40.46,41.75,24.11
"apel 39",47.26,26.31,33.73,42.36,20.94
"apel 39",46.07,24.16,37.11,42.03,18.85
"apel 39",41.32,31.11,38.99,35.38,21.35
"apel 39",44.69,26.42,38.72,40.02,19.88
"apel 39",47.78,29.86,39.23,41.44,23.79
"apel 39",52.93,31.21,42.18,45.27,27.43
"apel 39",48.55,28.43,36.7,42.69,23.11
