NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"bgal 24",47.87,28.22,38.25,42.18,22.64
"bgal 24",43.15,24.45,36.32,39.28,17.86
"bgal 24",47.63,29.11,37.68,41.61,23.17
"bgal 24",42.71,33.82,37.71,35.48,23.77
"bgal 24",48.04,33.63,39.21,40,26.61
"bgal 24",39.04,23.31,34.45,35.85,15.45
"bgal 24",44.84,28.32,35.63,39.48,21.27
"bgal 24",51.97,30.74,38.84,44.67,26.57
"bgal 24",44.21,27.86,34.17,39.09,20.66
"bgal 24",41.42,33.84,37.99,34.41,23.06
"bgal 24",48.27,29.47,36.73,42.03,23.75
"bgal 24",49.3,29.2,38.71,43.04,24.05
"bgal 24",50.94,30.07,38,44.08,25.52
"bgal 24",48.62,34.04,39.51,40.28,27.22
"bgal 24",52.13,30.8,35.18,44.78,26.7
"bgal 24",48.6,33.05,38.16,40.74,26.51
"bgal 24",46.77,30.84,38.03,40.15,23.98
"bgal 24",52.09,31.89,39.82,44.23,27.52
"bgal 24",50.58,35.1,44.66,41.39,29.08
"bgal 24",40.09,27.01,36.63,35.71,18.2
"bgal 24",44.99,23.9,34.1,41.14,18.23
"bgal 24",45.11,28.1,37.07,39.79,21.25
"bgal 24",45.34,36.14,43.24,36.62,26.74
"bgal 24",47.92,31.74,40.57,40.75,25.21
"bgal 24",44.95,27.85,37.43,39.75,21
"bgal 24",41.43,25.69,36.57,37.34,17.96
"bgal 24",36.41,22.65,33.32,33.6,14.02
"bgal 24",40.1,22.69,32.89,37,15.47
"bgal 24",38.53,23.19,32.78,35.42,15.17
"bgal 24",38.38,26.15,33.49,34.45,16.91
"bgal 24",46.07,27,36.93,41.05,20.91
"bgal 24",42.57,24.2,35.57,38.83,17.45
"bgal 24",48.47,30.49,37.35,41.77,24.59
"bgal 24",46.03,26.18,37.33,41.31,20.31
"bgal 24",37.48,32.24,38.53,31.7,19.99
"bgal 24",49.71,29.05,38.9,43.46,24.14
"bgal 24",53.68,31.1,40.95,45.96,27.73
"bgal 24",50.37,31,39.81,43.18,25.94
"bgal 24",52.56,31.8,35.97,44.67,27.7
"bgal 24",54.13,31.57,37.42,46.11,28.34
"bgal 24",52.21,28.4,36.16,45.92,24.83
"bgal 24",48.13,26.8,35.35,42.96,21.7
"bgal 24",55.58,33.13,39.34,46.55,30.38
"bgal 24",54.72,31.27,36.8,46.77,28.4
"bgal 24",44.59,31.81,30.87,37.89,23.51
"bgal 24",50.92,32.19,31.92,43.09,27.13
"bgal 24",44.07,34.93,25.1,36.13,25.23
"bgal 24",45.66,33.68,32.63,38,25.32
"bgal 24",40.55,29.58,21.84,35.26,20.01
"bgal 24",46.27,32.33,29.4,39.1,24.74
"bgal 24",42.67,27.31,29.19,37.91,19.58
"bgal 24",50.07,35.93,36.83,40.54,29.38
"bgal 24",55.25,33.35,36.15,46.15,30.37
"bgal 24",33.48,28.78,30.95,29.34,16.12
"bgal 24",47.3,33.84,32.7,39.29,26.34
"bgal 24",51.76,32.74,38.69,43.54,27.99
"bgal 24",44.71,32.39,27.71,37.75,23.95
"bgal 24",49.96,31.63,34.75,42.54,26.2
"bgal 24",51.15,34.98,33.89,41.91,29.32
"bgal 24",42.95,29.03,31.51,37.55,20.84
"bgal 24",45.71,32.37,33.47,38.61,24.47
"bgal 24",43.9,33.01,36.56,36.82,23.92
"bgal 24",41.8,32.49,32.1,35.25,22.45
"bgal 24",50.6,25.75,35.44,45.57,21.98
"bgal 24",49.52,28.17,36.09,43.66,23.38
"bgal 24",44.39,24.99,32.54,40.23,18.76
"bgal 24",51.5,27.78,35.5,45.56,24
"bgal 24",50.68,28.18,36.69,44.67,23.94
"bgal 24",52.47,36.32,40.47,42.28,31.08
"bgal 24",50.65,32.46,37.09,42.74,27.18
"bgal 24",48.25,31.59,37.4,41.11,25.27
"bgal 24",50.74,33.47,40.81,42.32,27.98
"bgal 24",46.86,32.15,37.22,39.67,24.93
"bgal 24",52.89,30.62,40.62,45.52,26.94
"bgal 24",53.85,33.55,42.62,44.88,29.76
"bgal 24",52.05,29.46,39.52,45.32,25.6
"bgal 24",53.65,31.49,38.54,45.75,28.03
"bgal 24",54.4,36.93,41.45,43.48,32.68
"bgal 24",53.33,31.62,38.85,45.41,27.96
"bgal 24",50.52,35.07,39.54,41.35,29.03
"bgal 24",46.06,37.59,39.63,36.5,28.1
"bgal 24",55.22,35.25,41.16,45.09,31.86
"bgal 24",54.87,31.22,40.19,46.92,28.44
"bgal 24",55.68,39.96,46.39,42.68,35.77
"bgal 24",49.78,38.59,43.45,38.91,31.05
"bgal 24",52.26,29.86,40.45,45.32,26.02
"bgal 24",56.64,35.26,45.02,46.25,32.7
"bgal 24",46.52,39.1,45.11,36.1,29.34
"bgal 24",47.19,25.52,34.63,42.59,20.33
"bgal 24",52.26,39.45,47.9,40.35,33.2
"bgal 24",52.15,31.08,41.54,44.66,26.92
"bgal 24",55.31,35.42,47.97,45.07,32.06
"bgal 24",41.66,30.05,40.34,36.06,20.86
"bgal 24",34.73,21.01,33.9,32.42,12.45
"bgal 24",35.57,21.6,33.61,33.07,13.09
"bgal 24",42.07,25.98,37.23,37.82,18.43
"bgal 24",42.3,24.65,37.4,38.44,17.64
"bgal 24",40.71,24.5,37.56,37.04,16.88
"bgal 24",41.35,23.59,36.26,37.9,16.55
"bgal 24",38.86,22.88,38.19,35.8,15.11
"bgal 24",39.6,26.11,37.91,35.56,17.43
