NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"bgali 22",48.83,24.59,34.66,44.4,20.32
"bgali 22",43.08,25.52,36.07,38.87,18.56
"bgali 22",52.27,27.62,37.04,46.32,24.23
"bgali 22",59.45,36.06,41.32,48.06,35
"bgali 22",47.99,28.82,36.81,42.05,23.14
"bgali 22",44.64,27.87,39.57,39.47,20.87
"bgali 22",50.99,32.93,42.4,42.8,27.71
"bgali 22",53.19,31.13,38.99,45.53,27.5
"bgali 22",44.16,33.5,39.65,36.82,24.37
"bgali 22",49.83,40.88,49.14,37.68,32.61
"bgali 22",45.09,27.59,39.09,39.97,20.89
"bgali 22",42.35,30.22,41.22,36.6,21.32
"bgali 22",49.46,28.07,37.57,43.64,23.28
"bgali 22",53.33,30.14,42.41,46.12,26.78
"bgali 22",42.28,32.33,40.7,35.73,22.61
"bgali 22",42.24,33.29,42.07,35.31,23.19
"bgali 22",42.03,26.35,35.81,37.67,18.66
"bgali 22",45.93,28.48,37.82,40.37,21.9
"bgali 22",48.74,28.58,39.42,42.8,23.31
"bgali 22",48.62,27.56,37.75,43.1,22.5
"bgali 12",36.79,24.95,33.48,33.37,15.49
"bgali 12",43.04,26.07,34.08,38.66,18.91
"bgali 12",43.09,26.6,34.62,38.5,19.28
"bgali 12",38.63,22.94,31.29,35.57,15.05
"bgali 12",37.25,25.39,31.22,33.65,15.97
"bgali 12",42.74,30.09,36.23,36.98,21.43
"bgali 12",41.28,22.4,33.47,38.17,15.73
"bgali 12",44.54,28.24,35.91,39.24,21.07
"bgali 12",43.85,26.15,38.63,39.37,19.33
"bgali 12",43.67,25.9,39.58,39.29,19.07
"bgali 12",34.79,101.18,69.48,-6.74,34.13
"bgali 12",32.48,95.77,65.67,-3.27,32.31
"bgali 12",41.47,33.7,38.87,34.5,23.01
"bgali 12",45.41,34.08,39.12,37.61,25.44
"bgali 12",48.32,26.27,38.73,43.33,21.39
"bgali 12",51.2,25.49,35.12,46.22,22.04
"bgali 12",41.98,25.27,35.01,37.96,17.92
"bgali 12",40.87,24.24,32.95,37.27,16.78
"bgali 13",49.74,30.5,39.25,42.83,25.27
"bgali 13",46.08,25.53,36.5,41.53,19.89
"bgali 13",47.14,26.73,37.71,42.1,21.21
"bgali 13",41.38,25.96,37.49,37.19,18.11
"bgali 13",50.02,27.86,38.88,44.2,23.35
"bgali 13",30.4,48.77,44.28,20.03,22.86
"bgali 13",43.16,35.96,45.03,34.93,25.34
"bgali 13",37.01,35.51,39.95,30.13,21.5
"bgali 13",41.37,33.09,40.1,34.66,22.58
"bgali 13",47.67,25.79,37.7,42.92,20.74
"bgali 13",50.64,26.03,39.43,45.5,22.22
"bgali 13",44.26,32.99,41.2,37.13,24.1
"bgali 13",43.29,29.63,36.88,37.63,21.4
"bgali 13",46.02,25.25,37.97,41.63,19.63
"bgali 13",44.66,32.13,37.03,37.82,23.75
"bgali 13",46.52,27.22,34.52,41.37,21.28
"bgali 13",52.08,31.85,42.44,44.23,27.48
"bgali 13",40.5,26.76,37.62,36.16,18.23
"bgali 13",41.89,30.84,39.29,35.97,21.48
"bgali 13",40.33,31.59,38.71,34.35,21.12
"bgali 13",46.09,34.74,42.08,37.88,26.27
"bgali 13",49.26,35.44,43.31,40.14,28.56
"bgali 13",46.34,26.49,35.81,41.48,20.67
"bgali 13",45.82,31.92,40.94,38.89,24.23
"bgali 13",39.98,25.03,36.42,36.23,16.92
"bgali 13",41.92,27.73,36.19,37.1,19.51
"bgali 13",46.26,30.32,41.02,39.93,23.36
"bgali 13",39.1,27.93,33.99,34.54,18.31
"bgali 13",40.92,28.9,36.63,35.83,19.78
"bgali 13",43.48,27.69,34.1,38.5,20.21
"bgali 13",44.78,28.31,36.1,39.42,21.24
"bgali 13",42.15,28.2,37.41,37.14,19.92
"bgali 13",39.03,30.51,39.8,33.63,19.82
"bgali 13",42.37,25.14,31.66,38.36,18
"bgali 13",32.94,24.7,33.65,29.92,13.76
"bgali 2",37.19,31.77,32.44,31.62,19.58
"bgali 2",38.01,30.63,37.27,32.7,19.36
"bgali 2",47.63,28.61,37.5,41.81,22.81
"bgali 2",45.08,36.56,45.48,36.21,26.85
"bgali 2",44.98,37.08,45.12,35.89,27.12
"bgali 2",41.31,27.84,32.59,36.53,19.29
"bgali 2",44.98,28.34,35.28,39.59,21.35
"bgali 2",46.96,30.82,35.21,40.33,24.06
"bgali 2",36.56,38.69,39.63,28.54,22.86
"bgali 2",43.57,36.41,42.19,35.07,25.86
"bgali 2",32.63,106.29,72.69,-9.15,31.32
"bgali 2",46.39,34.47,40.33,38.24,26.25
