NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"bp 1",46.85,28.02,37.24,41.36,22.01
"bp 1",43.2,28.92,36.32,37.81,20.89
"bp 1",46.63,33.42,38.42,38.92,25.69
"bp 1",51.27,30.46,39.52,44.19,25.99
"bp 1",49.88,33.19,45.49,41.74,27.3
"bp 1",49.22,33.02,44.02,41.26,26.82
"bp 1",45.64,29.03,40.13,39.91,22.14
"bp 1",46.71,27.47,39.55,41.44,21.54
"bp 1",49.54,26.52,38.64,44.32,22.12
"bp 1",49.87,32.48,42.8,42.07,26.78
"bp 1",42.95,27.52,38.03,38.09,19.85
"bp 1",50.52,29.24,40.42,44.08,24.68
"bp 1",49.03,24.38,37.57,44.66,20.24
"bp 1",40.79,28.78,38.33,35.75,19.64
"bp 1",38.32,25.41,32.95,34.61,16.44
"bp 1",39.4,29.72,36.99,34.21,19.53
"bp 1",43.04,30.93,36.84,36.92,22.12
"bp 1",37.84,25.95,33.88,34.02,16.56
"bp 1",43.02,29.75,31.67,37.35,21.35
"bp 1",46.57,36.75,40.36,37.31,27.86
"bp 1",38.51,28.57,35.93,33.82,18.42
"bp 1",40.83,24.52,34.74,37.14,16.94
"bp 1",45.04,27.49,36.18,39.96,20.79
"bp 1",43.09,23.97,36.37,39.37,17.5
"bp 1",48.23,34.09,39.11,39.95,27.03
"bp 1",33.23,21.47,32.02,30.92,12.16
"bp 1",43,21.61,34.34,39.97,15.84
"bp 1",49.79,24.36,34.6,45.36,20.54
"bp 1",53.52,33.54,33.11,44.61,29.57
"bp 1",59.6,37.32,48.39,47.4,36.13
"bp 1",54.47,37.57,43.2,43.17,33.21
"bp 1",53.91,32.63,43.59,45.4,29.07
"bp 1",54.15,38.67,52.02,42.28,33.84
"bp 1",58.15,36,47.46,47.04,34.18
"bp 1",42.48,28.94,37.66,37.17,20.56
"bp 1",35.04,28.4,35.32,30.83,16.66
"bp 1",39.76,27.04,37.41,35.41,18.08
"bp 1",49.67,38.1,43.21,39.09,30.65
"bp 1",45.81,27.94,37.6,40.47,21.46
"bp 1",43.08,24.59,35.51,39.18,17.93
"bp 1",45.59,28.58,36.27,40.03,21.81
"bp 1",45.38,31.58,34.61,38.66,23.76
"bp 10",46.63,29.23,37.17,40.69,22.77
"bp 10",36.36,33.78,38.34,30.22,20.22
"bp 10",41.83,36.17,40.89,33.77,24.69
"bp 10",39.71,42.37,41.71,29.34,26.76
"bp 10",42.48,28.74,38.86,37.24,20.42
"bp 10",38.18,26.12,34.52,34.28,16.81
"bp 10",44.62,32.66,37.86,37.56,24.08
"bp 10",43.29,27.75,36.16,38.31,20.16
"bp 10",43.08,28.98,35.74,37.69,20.87
"bp 10",40.15,30.29,34.99,34.67,20.25
"bp 10",36.21,30.9,30.67,31.07,18.6
"bp 10",37.61,27.07,33.29,33.49,17.12
"bp 10",47.44,26,36.73,42.64,20.8
"bp 10",44.95,25.36,35.71,40.62,19.25
"bp 10",44.06,28.52,37.37,38.71,21.04
"bp 10",39.84,27.53,35.47,35.33,18.41
"bp 10",46.62,25.57,38.02,42.06,20.12
"bp 10",36.42,33.21,37.87,30.47,19.95
"bp 10",45.83,36.37,39.31,36.9,27.17
"bp 10",42.69,31.45,38.08,36.42,22.27
"bp 10",37.32,45.55,46.1,26.13,26.64
"bp 10",49.96,32.58,38.54,42.1,26.9
"bp 10",49.27,33.08,40.18,41.28,26.9
"bp 10",41.64,38.58,41.7,32.56,25.97
"bp 10",41.96,32.07,36.46,35.56,22.28
"bp 10",47.43,37.35,42.84,37.71,28.77
"bp 10",47.53,30.61,37.52,40.9,24.2
"bp 10",46.26,34.66,38.21,38.05,26.3
"bp 10",49.02,34.61,38.57,40.34,27.84
"bp 10",42.11,36.15,38.88,34,24.84
"bp 10",43.94,29.65,34.48,38.19,21.74
"bp 10",47.62,36.24,40,38.41,28.15
"bp 10",35.38,40.36,38.05,26.96,22.92
"bp 10",45.13,28.51,38.87,39.66,21.54
"bp 10",41.38,28.51,36.47,36.37,19.75
"bp 10",51.6,36.67,45.52,41.39,30.82
"bp 10",48.85,38.51,45.73,38.22,30.41
"bp 10",50.58,31.27,41.03,43.23,26.25
"bp 10",47,34.95,45.9,38.53,26.93
"bp 10",48.75,28.82,39.53,42.71,23.5
"bp 10",42.29,39.15,44.33,32.79,26.7
"bp 10",53.37,33.04,45.51,44.74,29.1
"bp 10",42.33,25.48,33.41,38.21,18.21
"bp 10",45.19,34.32,36.89,37.32,25.48
"bp 10",46.47,31.64,39.34,39.56,24.37
"bp 10",43.81,37.1,41.95,34.95,26.43
"bp 10",47.22,31.4,38.63,40.31,24.6
"bp 10",46.83,27.37,34.96,41.59,21.52
