NAME,C_VALUE,H_VALUE,L_VALUE,A_VALUE,B_VALUE
"pgap 13",40.52,24.91,29.11,36.75,17.06
"pgap 13",40.28,24.4,33.94,36.69,16.64
"pgap 13",49.6,31.52,40.7,42.28,25.93
"pgap 13",43.49,27.29,35.03,38.65,19.94
"pgap 13",40.33,23.05,36.81,37.11,15.79
"pgap 13",50.96,30.4,37.83,43.95,25.78
"pgap 13",47.92,30.73,36.98,41.19,24.49
"pgap 13",37.09,33.07,41.56,31.08,20.24
"pgap 13",49.87,32.81,38.81,41.92,27.02
"pgap 13",43.8,34.97,39.88,35.89,25.1
"pgap 13",54.91,31.35,40.96,46.89,28.57
"pgap 13",43.83,25.28,37.27,39.63,18.72
"pgap 13",54.43,27.28,37.63,48.38,24.95
"pgap 13",40.85,40.05,42.28,31.27,26.29
"pgap 13",48.09,24.44,36.8,43.78,19.89
"pgap 13",45.75,30.3,38.86,39.5,23.08
"pgap 13",43.57,30.14,38.33,37.67,21.88
"pgap 13",45.88,26.7,36.92,40.98,20.61
"pgap 13",37.88,25.07,38.44,34.31,16.05
"pgap 13",40.84,21.35,33.93,38.03,14.87
"pgap 13",38.15,30.47,38.66,32.89,19.35
"pgap 22",39.07,23.63,33.31,35.8,15.66
"pgap 22",42.6,28.01,35.98,37.61,20
"pgap 22",43.29,27.13,33.97,38.52,19.74
"pgap 22",46.44,24.79,32.21,42.16,19.47
"pgap 22",41.65,24.91,30.38,37.77,17.55
"pgap 22",44.82,23.89,34.24,40.99,18.15
"pgap 22",39.45,23.34,34.18,36.22,15.63
"pgap 22",47.92,30.73,36.98,41.19,24.49
"pgap 22",37.09,33.07,41.56,31.08,20.24
"pgap 22",45.05,31.78,38.32,38.3,23.73
"pgap 22",43.3,24.24,35.51,39.48,17.78
"pgap 22",41.89,28.96,34.91,36.65,20.28
"pgap 22",43.46,26.06,36.64,39.04,19.09
"pgap 22",43.33,25.91,32.21,38.98,18.93
"pgap 22",45.64,24.72,34.74,41.46,19.09
"pgap 22",46.84,22.58,35.25,43.25,17.99
"pgap 22",46.22,24.33,35.5,42.12,19.04
"pgap 22",51.32,30.73,36.61,44.12,26.23
"pgap 22",46.26,33.83,43.17,38.43,25.75
"pgap 22",44.86,22.54,35.01,41.43,17.19
"pgap 22",53.81,31.94,46.38,45.67,28.47
"pgap 22",50.23,27.42,36.47,44.58,23.13
"pgap 22",46.32,25.43,37.37,41.83,19.89
"pgap 22",39.41,40.91,43.32,29.78,25.81
"pgap 22",41.19,39.68,42.69,31.7,26.3
"pgap 22",45.61,24.68,36.04,41.44,19.04
"pgap 22",44.13,30.14,36.5,38.16,22.15
"pgap 22",46.91,23.6,34.52,42.99,18.78
"pgap 22",40.1,22.8,32.86,36.97,15.54
"pgap 33",45.74,25.71,33.07,41.21,19.84
"pgap 33",43.39,24.57,34.07,39.46,18.05
"pgap 33",49.61,29.32,37.36,43.26,24.29
"pgap 33",44.66,25.69,34.77,40.25,19.36
"pgap 33",44.75,24.88,33.66,40.6,18.83
"pgap 33",48.64,26.14,34.41,43.66,21.43
"pgap 33",41.75,27.7,37.48,36.97,19.41
"pgap 33",46.13,28.87,34.7,40.4,22.27
"pgap 33",46.77,25.89,34.02,42.08,20.42
"pgap 33",42.02,26.15,35.11,37.72,18.51
"pgap 33",42.57,23.85,31.85,38.94,17.21
"pgap 33",49.52,32.56,38.81,41.74,26.65
"pgap 33",50.45,26.19,35.66,45.27,22.27
"pgap 33",49.98,30.78,38.87,42.94,25.58
"pgap 33",32.84,43.75,38.81,23.72,22.71
"pgap 33",35.37,31.6,39.9,30.12,18.53
"pgap 33",39.68,25.36,34.86,35.85,16.99
"pgap 33",48.86,33.98,35.67,40.52,27.31
"pgap 33",44.2,26.84,37.51,39.44,19.95
"pgap 33",49.24,33.18,43.17,41.21,26.95
"pgap 33",44.05,30.51,41.62,37.95,22.37
"pgap 33",50.23,27.42,36.47,44.58,23.13
"pgap 33",31.61,41.98,40.42,23.5,21.14
"pgap 33",45.54,28.49,38.04,40.02,21.72
"pgap 33",45.61,24.68,36.04,41.44,19.04
"pgap 33",53.35,31.8,40.13,45.34,28.12
"pgap 33",46.68,26.96,37.85,41.6,21.17
"pgap 33",39.8,37.72,45.47,31.48,24.35
"pgap 35",36.63,21.96,33.63,33.97,13.7
"pgap 35",42.84,24.86,34.18,38.87,18.01
"pgap 35",42.11,23.46,34.51,38.63,16.76
"pgap 35",50.8,29.26,37.64,44.32,24.83
"pgap 35",40.39,24.11,34.56,36.87,16.5
"pgap 35",49.98,32.29,40.51,42.25,26.7
