NAME,VALUE
"29bp 11",240
"29bp 11",370
"29bp 11",340
"29bp 11",400
"29bp 11",310
"29bp 11",400
"29bp 11",310
"29bp 11",340
"29bp 11",300
"29bp 11",300
"29bp 11",380
"29bp 11",350
"29bp 11",350
"29bp 11",350
"29bp 11",550
"29bp 11",450
"29bp 11",450
"29bp 11",490
"29bp 11",420
"29bp 11",460
"29bp 11",350
"29bp 11",400
"29bp 11",440
"29bp 11",320
"29bp 11",400
"29bp 13",320
"29bp 13",320
"29bp 13",260
"29bp 13",380
"29bp 13",250
"29bp 13",310
"29bp 13",340
"29bp 13",370
"29bp 13",400
"29bp 13",400
"29bp 13",300
"29bp 13",350
"29bp 13",350
"29bp 13",320
"29bp 13",370
"29bp 13",310
"29bp 13",300
"29bp 13",350
"29bp 13",450
"29bp 13",460
"29bp 13",360
"29bp 13",480
"29bp 13",360
"29bp 13",340
"29bp 13",360
"29bp 13",360
"29bp 14",280
"29bp 14",420
"29bp 14",250
"29bp 14",360
"29bp 14",450
"29bp 14",450
"29bp 14",280
"29bp 14",260
"29bp 14",250
"29bp 14",300
"29bp 14",350
"29bp 14",400
"29bp 14",340
"29bp 14",400
"29bp 15",550
"29bp 15",400
"29bp 15",450
"29bp 15",500
"29bp 15",430
"29bp 15",260
"29bp 15",250
"29bp 15",280
"29bp 15",360
"29bp 15",420
"29bp 15",400
"29bp 15",300
"29bp 15",320
"29bp 15",350
"29bp 15",420
"29bp 15",340
"29bp 15",430
"29bp 15",390
"29bp 15",400
"29bp 15",450
"29bp 15",550
"29bp 15",400
"29bp 16",380
"29bp 16",430
"29bp 16",380
"29bp 16",350
"29bp 16",370
"29bp 16",370
"29bp 16",450
"29bp 16",410
"29bp 16",420
"29bp 16",410
"29bp 16",420
"29bp 18",300
"29bp 18",280
"29bp 18",300
"29bp 18",370
"29bp 18",550
"29bp 18",500
"29bp 18",530
"29bp 18",260
"29bp 2",310
"29bp 2",350
"29bp 2",480
"29bp 2",420
"29bp 2",370
"29bp 2",390
"29bp 2",290
"29bp 2",290
"29bp 2",450
"29bp 2",420
"29bp 2",380
"29bp 2",400
"29bp 2",390
"29bp 2",300
"29bp 2",470
"29bp 2",450
"29bp 2",450
"29bp 2",450
"29bp 2",360
"29bp 2",360
"29bp 2",340
"29bp 2",550
"29bp 2",500
"29bp 2",400
"29bp 4",520
"29bp 4",310
"29bp 4",430
"29bp 5",360
"29bp 5",240
"29bp 5",380
"29bp 5",420
"29bp 5",340
"29bp 5",350
"29bp 5",450
"29bp 5",500
"29bp 5",470
"29bp 5",380
"29bp 5",430
"29bp 5",430
"29bp 5",310
"29bp 5",350
"29bp 5",340
"29bp 5",310
"29bp 5",350
"29bp 6",400
"29bp 6",440
"29bp 6",460
"29bp 6",440
"29bp 6",360
"29bp 6",330
"29bp 6",300
"29bp 9",400
"29bp 9",510
"29bp 9",510
"29bp 9",440
"29bp 9",510
"29bp 9",400
"29bp 9",340
"29bp 9",310
"29bp 9",450
"29bp 9",400
"29bp 9",430
"29bp 9",350
"29bp 9",450
"29bp 9",390
"29bp 9",430
"29bp 9",410
"29bp 9",460
"29bp 9",450
"29bp 9",490
"29bp 9",560
"29bp 9",400
"29bp 9",450
"29bp 9",460
"29bp 9",380
"29bp 9",440
