NAME,VALUE
"apae 1",410
"apae 1",350
"apae 1",350
"apae 1",300
"apae 1",400
"apae 1",200
"apae 1",350
"apae 1",350
"apae 1",380
"apae 1",350
"apae 1",400
"apae 1",300
"apae 1",320
"apae 1",380
"apae 1",300
"apae 1",300
"apae 1",320
"apae 1",380
"apae 1",380
"apae 1",400
"apae 1",400
"apae 1",400
"apae 1",450
"apae 1",200
"apae 1",250
"apae 1",250
"apae 1",250
"apae 1",210
"apae 1",250
"apae 1",360
"apae 1",200
"apae 1",250
"apae 1",250
"apae 1",350
"apae 1",300
"apae 1",350
"apae 1",400
"apae 1",350
"apae 1",200
"apae 1",250
"apae 1",350
"apae 1",320
"apae 1",330
"apae 1",330
"apae 1",340
"apae 1",370
"apae 1",420
"apae 1",380
"apae 1",300
"apae 1",310
"apae 1",250
"apae 1",320
"apae 1",310
"apae 1",340
"apae 1",360
"apae 1",340
"apae 1",330
"apae 1",310
"apae 1",300
"apae 1",300
"apae 1",350
"apae 1",310
"apae 1",300
"apae 1",300
"apae 1",300
"apae 1",310
"apae 1",260
"apae 1",250
"apae 1",240
"apae 1",300
"apae 1",290
"apae 1",240
"apae 1",250
"apae 1",250
"apae 1",300
"apae 1",340
"apae 1",260
"apae 1",340
"apae 1",300
"apae 1",240
"apae 1",250
"apae 1",240
"apae 1",230
"apae 1",240
"apae 1",320
"apae 1",280
"apae 1",230
"apae 1",250
"apae 1",320
"apae 1",260
"apae 1",320
"apae 1",250
"apae 1",190
"apae 1",240
"apae 1",320
"apae 1",350
"apae 1",260
"apae 1",240
"apae 1",250
"apae 1",240
"apae 1",210
"apae 1",270
"apae 1",270
"apae 1",220
"apae 1",250
"apae 1",220
"apae 13",400
"apae 13",400
"apae 13",450
"apae 13",260
"apae 13",310
"apae 13",400
"apae 13",300
"apae 13",300
"apae 13",350
"apae 13",350
"apae 13",350
"apae 13",250
"apae 13",350
"apae 13",350
"apae 13",400
"apae 13",340
"apae 13",240
"apae 13",200
"apae 13",200
"apae 13",200
"apae 13",250
"apae 13",260
"apae 13",220
"apae 13",240
"apae 13",210
"apae 13",260
"apae 13",300
"apae 13",300
"apae 13",250
"apae 13",200
"apae 13",300
"apae 13",300
"apae 13",260
"apae 13",180
"apae 13",220
"apae 13",250
"apae 13",250
"apae 13",250
"apae 13",250
"apae 13",280
"apae 13",240
"apae 13",200
"apae 13",250
"apae 13",270
"apae 13",310
"apae 13",250
"apae 13",240
"apae 13",290
"apae 13",350
"apae 13",250
"apae 13",240
"apae 13",220
"apae 13",230
"apae 13",200
"apae 13",220
"apae 13",210
"apae 13",270
"apae 13",310
"apae 13",330
"apae 13",220
"apae 13",360
"apae 13",210
"apae 13",300
"apae 13",320
"apae 13",200
"apae 13",300
"apae 13",300
"apae 13",360
"apae 13",350
"apae 13",380
"apae 13",280
"apae 13",360
"apae 13",300
"apae 13",340
"apae 13",250
"apae 13",360
"apae 13",200
"apae 13",200
"apae 13",190
"apae 13",250
"apae 13",180
"apae 13",260
"apae 13",210
"apae 13",280
"apae 13",210
"apae 13",220
"apae 13",230
"apae 13",260
"apae 13",280
"apae 13",300
"apae 13",290
"apae 3",200
"apae 3",200
"apae 3",280
"apae 3",250
"apae 3",200
"apae 3",320
"apae 3",290
"apae 3",250
"apae 3",280
"apae 3",310
"apae 3",310
"apae 3",280
"apae 3",350
"apae 3",300
"apae 3",290
"apae 3",300
"apae 3",240
"apae 3",300
"apae 3",240
"apae 3",250
"apae 3",280
"apae 3",300
"apae 3",250
"apae 3",280
"apae 3",200
"apae 3",300
"apae 3",250
"apae 3",290
"apae 3",240
"apae 3",250
"apae 3",310
"apae 3",290
"apae 3",240
"apae 3",230
"apae 3",220
"apae 3",280
"apae 3",300
"apae 3",310
"apae 3",310
"apae 3",310
"apae 3",360
"apae 3",310
"apae 3",370
"apae 3",320
"apae 3",230
"apae 3",200
"apae 3",240
"apae 3",300
"apae 3",240
"apae 3",170
"apae 3",210
"apae 3",250
"apae 3",260
"apae 3",220
"apae 3",200
"apae 3",250
"apae 3",280
"apae 3",270
"apae 3",270
"apae 3",250
"apae 3",250
"apae 3",250
"apae 3",200
"apae 3",250
"apae 3",250
"apae 3",280
"apae 3",250
"apae 3",270
"apae 3",270
"apae 3",230
"apae 3",240
"apae 3",250
"apae 3",250
"apae 3",240
"apae 3",320
"apae 3",260
"apae 3",290
"apae 3",290
"apae 3",200
"apae 3",340
"apae 3",210
"apae 3",250
"apae 3",260
"apae 3",230
