NAME,VALUE
"apel 14",450
"apel 14",500
"apel 14",500
"apel 14",450
"apel 14",510
"apel 14",310
"apel 14",310
"apel 14",320
"apel 14",350
"apel 14",300
"apel 14",350
"apel 14",300
"apel 14",300
"apel 14",300
"apel 14",300
"apel 21",410
"apel 21",500
"apel 21",300
"apel 21",310
"apel 21",400
"apel 21",350
"apel 21",450
"apel 21",400
"apel 21",400
"apel 21",350
"apel 21",350
"apel 21",300
"apel 21",400
"apel 21",400
"apel 21",400
"apel 21",450
"apel 21",305
"apel 21",470
"apel 21",400
"apel 21",305
"apel 21",350
"apel 21",320
"apel 21",390
"apel 21",305
"apel 21",400
"apel 21",405
"apel 21",400
"apel 21",300
"apel 23",560
"apel 23",440
"apel 23",400
"apel 23",350
"apel 23",320
"apel 23",320
"apel 23",430
"apel 23",250
"apel 23",350
"apel 23",300
"apel 23",300
"apel 23",400
"apel 23",400
"apel 39",400
"apel 39",350
"apel 39",400
"apel 39",500
"apel 39",450
"apel 39",400
"apel 39",300
"apel 39",350
"apel 39",450
"apel 39",450
"apel 39",450
"apel 39",400
"apel 39",450
"apel 39",500
"apel 39",350
"apel 39",400
"apel 39",400
"apel 39",550
"apel 39",350
"apel 39",400
"apel 39",350
"apel 39",400
"apel 39",400
"apel 39",400
"apel 39",300
