NAME,VALUE
"bgal 24",470
"bgal 24",470
"bgal 24",200
"bgal 24",300
"bgal 24",250
"bgal 24",320
"bgal 24",350
"bgal 24",310
"bgal 24",300
"bgal 24",330
"bgal 24",320
"bgal 24",360
"bgal 24",280
"bgal 24",380
"bgal 24",230
"bgal 24",210
"bgal 24",300
"bgal 24",260
"bgal 24",260
"bgal 24",230
"bgal 24",280
"bgal 24",240
"bgal 24",200
"bgal 24",220
"bgal 24",250
"bgal 24",350
"bgal 24",250
"bgal 24",310
"bgal 24",320
"bgal 24",220
"bgal 24",250
"bgal 24",200
"bgal 24",270
"bgal 24",250
"bgal 24",210
"bgal 24",260
"bgal 24",250
"bgal 24",320
"bgal 24",330
"bgal 24",270
"bgal 24",250
"bgal 24",220
"bgal 24",280
"bgal 24",300
"bgal 27",430
"bgal 27",640
"bgal 27",540
"bgal 27",500
"bgal 27",500
"bgal 27",450
"bgal 27",550
"bgal 27",450
"bgal 27",550
"bgal 27",550
"bgal 27",320
"bgal 27",250
"bgal 27",250
"bgal 27",260
"bgal 27",250
"bgal 27",350
"bgal 27",310
"bgal 27",260
"bgal 27",300
"bgal 27",300
"bgal 27",250
"bgal 27",300
"bgal 27",250
"bgal 27",250
"bgal 27",250
"bgal 27",200
"bgal 27",250
"bgal 27",200
"bgal 27",300
"bgal 27",300
"bgal 27",180
"bgal 27",250
"bgal 27",300
"bgal 27",160
"bgal 27",230
"bgal 27",180
"bgal 27",200
"bgal 27",150
"bgal 27",160
"bgal 27",200
"bgal 27",150
"bgal 27",220
"bgal 27",210
"bgal 27",260
"bgal 27",250
"bgal 27",250
"bgal 27",320
"bgal 27",300
"bgal 27",250
"bgal 27",320
"bgal 27",310
"bgal 27",240
"bgal 27",310
"bgal 27",260
"bgal 27",200
"bgal 27",340
"bgal 27",320
"bgal 27",250
"bgal 27",310
"bgal 27",360
"bgal 27",300
"bgal 27",310
"bgal 27",250
"bgal 27",300
"bgal 27",250
"bgal 27",300
"bgal 27",300
"bgal 27",270
"bgal 27",260
"bgal 27",260
"bgal 27",340
"bgal 27",250
"bgal 27",250
"bgal 27",260
"bgal 27",300
"bgal 27",300
"bgal 27",270
"bgal 27",200
"bgal 27",240
"bgal 27",240
"bgal 27",300
"bgal 27",260
"bgal 27",260
"bgal 27",250
"bgal 27",300
"bgal 27",230
"bgal 27",200
"bgal 27",180
"bgal 27",210
"bgal 27",180
"bgal 27",200
"bgal 27",290
"bgal 27",250
"bgal 28",350
"bgal 28",250
"bgal 28",350
"bgal 28",150
"bgal 28",280
"bgal 28",310
"bgal 28",260
"bgal 28",330
"bgal 28",410
"bgal 28",350
"bgal 28",400
"bgal 28",410
"bgal 28",380
"bgal 28",420
"bgal 28",370
"bgal 28",400
"bgal 28",360
"bgal 28",520
"bgal 28",400
"bgal 28",300
"bgal 28",460
"bgal 28",350
"bgal 28",420
"bgal 28",380
"bgal 28",290
"bgal 28",300
"bgal 28",350
"bgal 28",350
"bgal 28",350
"bgal 28",250
"bgal 28",260
"bgal 28",370
"bgal 28",300
"bgal 28",340
"bgal 28",350
"bgal 28",350
"bgal 28",300
"bgal 28",340
"bgal 28",350
"bgal 28",350
"bgal 28",360
"bgal 28",360
"bgal 28",320
"bgal 28",380
"bgal 28",340
"bgal 28",340
"bgal 28",360
"bgal 28",280
"bgal 28",310
"bgal 28",340
"bgal 28",350
"bgal 37",300
"bgal 37",380
"bgal 37",350
"bgal 37",350
"bgal 37",340
"bgal 37",310
"bgal 37",360
"bgal 37",360
"bgal 37",360
"bgal 37",340
"bgal 37",320
"bgal 37",320
"bgal 37",250
"bgal 37",300
"bgal 37",370
"bgal 37",360
"bgal 37",340
"bgal 37",310
"bgal 37",380
"bgal 37",310
"bgal 37",310
"bgal 37",300
"bgal 37",300
"bgal 37",290
"bgal 37",250
"bgal 37",370
"bgal 37",360
"bgal 37",460
"bgal 37",430
"bgal 37",440
"bgal 37",260
"bgal 37",340
"bgal 37",320
"bgal 37",310
"bgal 37",410
"bgal 37",300
"bgal 37",320
"bgal 37",340
"bgal 37",380
"bgal 37",360
"bgal 37",360
"bgal 37",370
"bgal 37",260
"bgal 37",320
"bgal 37",330
"bgal 37",250
"bgal 37",350
"bgal 37",350
"bgal 37",380
"bgal 37",450
"bgal 37",400
"bgal 37",350
"bgal 37",350
"bgal 37",410
"bgal 37",290
"bgal 37",400
"bgal 37",500
"bgal 37",400
"bgal 37",450
"bgal 37",430
"bgal A15",450
"bgal A15",300
"bgal A15",320
"bgal A15",350
"bgal A15",360
"bgal A15",350
"bgal A15",350
"bgal A15",400
"bgal A15",350
"bgal A15",400
"bgal A15",300
"bgal A15",300
"bgal A15",300
"bgal A15",300
"bgal A15",300
"bgal A15",400
"bgal A15",400
"bgal A15",350
"bgal A15",250
"bgal A15",350
"bgal A15",350
"bgal A15",360
"bgal A18",350
"bgal A18",340
"bgal A18",450
"bgal A18",400
"bgal A18",450
"bgal A18",400
"bgal A18",360
"bgal A18",380
"bgal A18",300
"bgal A18",300
"bgal A18",350
"bgal A18",290
"bgal A18",250
"bgal A18",250
"bgal A18",250
"bgal A18",200
"bgal A18",250
"bgal A18",250
"bgal A18",300
"bgal A18",200
"bgal A18",300
"bgal A18",250
"bgal A18",250
"bgal A18",300
"bgal A18",300
"bgal A18",300
"bgal A18",250
"bgal A18",250
"bgal A18",250
"bgal A18",300
"bgal A18",300
"bgal A19",400
"bgal A19",350
"bgal A19",350
"bgal A19",360
"bgal A19",405
"bgal A19",300
"bgal A19",450
"bgal A19",300
"bgal A19",300
"bgal A19",200
"bgal A19",330
"bgal A19",150
"bgal A19",300
"bgal A19",300
"bgal A19",300
"bgal A19",200
"bgal A19",300
"bgal A19",250
"bgal A19",400
"bgal A19",250
"bgal A19",300
"bgal A19",250
"bgal A21",250
"bgal A21",250
"bgal A21",250
"bgal A21",360
"bgal A21",350
"bgal A21",450
"bgal A21",450
"bgal A21",450
"bgal A21",400
"bgal A21",400
"bgal A21",250
"bgal A21",300
"bgal A21",320
"bgal A21",250
"bgal A21",250
"bgal A21",300
"bgal A21",300
"bgal A21",300
"bgal A21",300
"bgal A24",400
"bgal A24",400
"bgal A24",400
"bgal A24",450
"bgal A24",300
"bgal A24",400
"bgal A24",300
"bgal A24",300
"bgal A24",250
"bgal A24",350
"bgal A24",350
"bgal A24",350
"bgal A24",300
"bgal A25",450
"bgal A25",420
"bgal A25",510
"bgal A25",300
"bgal A25",450
"bgal A25",350
"bgal A25",300
"bgal A25",300
"bgal A25",250
"bgal A25",250
"bgal A25",300
"bgal A27",350
"bgal A27",300
"bgal A27",400
"bgal A27",350
"bgal A27",400
"bgal A27",400
"bgal A27",300
"bgal A27",340
"bgal A27",550
"bgal A27",450
"bgal A27",300
"bgal A27",300
"bgal A27",380
"bgal A27",400
"bgal A27",350
"bgal A27",320
"bgal A27",320
"bgal A27",300
"bgal A27",400
"bgal A27",350
"bgal A27",300
"bgal A27",290
"bgal A27",300
"bgal A27",250
"bgal A27",300
"bgal A27",400
"bgal A27",300
"bgal A27",350
"bgal A27",300
"bgal A27",350
"bgal A27",300
"bgal A27",350
"bgal A27",400
"bgal A27",350
"bgal A27",300
"bgal A27",300
"bgal A27",300
"bgal A27",300
"bgal A28",430
"bgal A28",480
"bgal A28",500
"bgal A28",550
"bgal A28",550
"bgal A28",450
"bgal A28",510
"bgal A28",450
"bgal A28",460
"bgal A28",400
"bgal A28",450
"bgal A28",520
"bgal A28",500
"bgal A28",440
"bgal A28",500
"bgal A28",500
"bgal A28",600
"bgal A28",600
"bgal A28",250
"bgal A28",450
"bgal A28",400
"bgal A28",400
"bgal A37",450
"bgal A37",500
"bgal A37",450
"bgal A37",500
"bgal A37",550
"bgal A37",500
"bgal A37",550
"bgal A37",500
"bgal A37",500
"bgal A37",500
"bgal A37",550
"bgal A37",300
"bgal A37",400
"bgal A37",500
"bgal A37",500
"bgal A37",400
"bgal A37",305
"bgal A37",380
"bgal A37",300
"bgal A37",380
"bgal A37",300
"bgal A37",300
"bgal A37",300
"bgal A37",350
"bgal A37",300
