NAME,VALUE
"bgali 22",400
"bgali 22",400
"bgali 22",500
"bgali 22",500
"bgali 22",400
"bgali 22",300
"bgali 22",300
"bgali 22",305
"bgali 22",300
"bgali 22",350
"bgali 22",410
"bgali 22",350
"bgali 22",300
"bgali 22",280
"bgali 22",300
"bgali 22",380
"bgali 22",300
"bgali 22",250
"bgali 22",240
"bgali 22",280
"bgali 12",400
"bgali 12",400
"bgali 12",350
"bgali 12",350
"bgali 12",300
"bgali 12",350
"bgali 12",290
"bgali 12",300
"bgali 12",400
"bgali 12",400
"bgali 12",200
"bgali 12",300
"bgali 12",290
"bgali 12",400
"bgali 12",250
"bgali 12",250
"bgali 12",300
"bgali 12",300
"bgali 13",300
"bgali 13",250
"bgali 13",250
"bgali 13",300
"bgali 13",300
"bgali 13",320
"bgali 13",310
"bgali 13",340
"bgali 13",250
"bgali 13",450
"bgali 13",450
"bgali 13",350
"bgali 13",300
"bgali 13",300
"bgali 13",310
"bgali 13",400
"bgali 13",400
"bgali 13",300
"bgali 13",250
"bgali 13",230
"bgali 13",200
"bgali 13",250
"bgali 13",200
"bgali 13",200
"bgali 13",300
"bgali 13",300
"bgali 13",300
"bgali 13",350
"bgali 13",250
"bgali 13",300
"bgali 13",250
"bgali 13",400
"bgali 13",300
"bgali 13",300
"bgali 13",250
"bgali 13",250
"bgali 13",300
"bgali 13",250
"bgali 13",250
"bgali 2",300
"bgali 2",300
"bgali 2",300
"bgali 2",300
"bgali 2",450
"bgali 2",310
"bgali 2",300
"bgali 2",200
"bgali 2",250
"bgali 2",250
"bgali 2",400
"bgali 2",300
