NAME,VALUE
"bp 1",250
"bp 1",240
"bp 1",250
"bp 1",340
"bp 1",310
"bp 1",460
"bp 1",370
"bp 1",250
"bp 1",300
"bp 1",230
"bp 1",260
"bp 1",300
"bp 1",200
"bp 10",250
"bp 10",200
"bp 10",250
"bp 10",220
"bp 10",320
"bp 10",280
"bp 10",280
"bp 10",360
"bp 10",360
"bp 10",430
"bp 10",400
"bp 10",290
"bp 10",290
"bp 10",280
"bp 10",270
"bp 10",210
"bp 10",300
"bp 10",230
"bp 10",200
"bp 10",300
"bp 10",250
"bp 10",360
"bp 10",340
"bp 10",370
"bp 10",350
"bp 10",330
"bp 10",310
"bp 10",300
"bp 10",300
"bp 10",260
"bp 10",290
"bp 13",310
"bp 13",330
"bp 13",350
"bp 13",400
"bp 13",400
"bp 13",400
"bp 13",290
"bp 14",200
"bp 14",220
"bp 14",290
"bp 14",290
"bp 14",290
"bp 14",290
"bp 14",390
"bp 14",370
"bp 14",420
"bp 14",300
"bp 14",300
"bp 14",350
"bp 14",340
"bp 14",340
"bp 14",300
"bp 14",350
"bp 14",340
"bp 16",240
"bp 16",260
"bp 16",350
"bp 16",260
"bp 16",280
"bp 16",400
"bp 16",380
"bp 16",390
"bp 16",420
"bp 16",260
"bp 16",340
"bp 16",230
"bp 16",240
"bp 16",320
"bp 19",370
"bp 19",390
"bp 19",320
"bp 19",400
"bp 19",400
"bp 19",350
"bp 2",420
"bp 2",210
"bp 2",310
"bp 2",250
"bp 2",260
"bp 2",190
"bp 2",300
"bp 2",260
"bp 2",220
"bp 2",310
"bp 2",260
"bp 2",240
"bp 2",300
"bp 2",250
"bp 2",330
"bp 3",360
"bp 3",420
"bp 3",290
"bp 3",320
"bp 3",260
"bp 3",350
"bp 3",290
"bp 3",370
"bp 3",400
"bp 3",400
"bp 4",390
"bp 4",350
"bp 4",240
"bp 4",310
"bp 4",330
"bp 4",240
"bp 4",250
"bp 4",400
"bp 4",300
"bp 4",230
"bp 5",210
"bp 5",240
"bp 5",240
"bp 5",300
"bp 5",200
"bp 5",440
"bp 5",360
"bp 5",350
"bp 5",340
"bp 5",280
"bp 5",350
"bp 5",360
"bp 5",400
"bp 5",290
"bp 5",360
"bp 5",360
"bp 5",350
"bp 5",450
"bp 5",350
"bp 5",290
"bp 7",300
"bp 7",350
"bp 7",400
"bp 7",240
"bp 7",300
"bp 7",280
"bp 7",340
"bp 7",380
"bp 8",320
"bp 8",380
"bp 8",330
"bp 8",400
"bp 8",300
"bp 8",300
"bp 8",410
"bp 8",380
"bp 8",300
"bp 8",320
"bp 8",400
"bp 8",340
"bp 8",380
"bp 9",270
"bp 9",320
"bp 9",300
"bp 9",310
"bp 9",460
"bp 9",260
"bp 9",260
"bp 9",250
"bp 9",320
"bp 9",250
