NAME,VALUE
"pg 29",550
"pg 29",500
"pg 29",430
"pg 29",500
"pg 29",480
"pg 29",450
"pg 29",520
"pg 29",500
"pg 29",470
"pg 29",500
"pg 29",530
"pg 29",500
"pg 29",520
"pg 29",600
"pg 29",400
"pg 29",550
"pg 29",580
"pg 29",450
"pg 29",460
"pg 29",520
"pg 29",600
"pg 29",620
"pg 29",450
"pg 29",580
"pg 29",650
"pg 29",630
"pg 29",650
"pg 29",405
"pg 29",350
"pg 29",400
"pg 29",500
"pg 29",550
"pg 29",400
"pg 29",600
"pg 29",500
"pg 29",450
"pg 29",600
"pg 29",600
"pg 29",500
"pg 29",500
"pg 29",550
"pg 29",500
"pg 29",590
"pg 29",600
"pg 29",650
"pg 29",560
"pg 29",500
"pg 29",480
"pg 29",430
"pg 29",550
"pg 29",500
"pg 29",550
"pg 29",550
"pg 29",500
"pg 29",430
"pg 29",600
"pg 29",640
"pg 29",460
"pg 29",580
"pg 29",550
"pg 29",500
"pg 29",500
"pg 29",350
"pg 29",450
"pg 29",450
"pg 29",500
"pg 29",500
"pg 29",400
"pg 29",500
"pg 29",500
"pg 29",530
"pg 29",600
"pg 29",520
"pg 29",460
"pg 29",550
"pg 29",550
"pg 29",460
"pg 29",550
"pg 29",450
"pg 29",450
"pg 29",480
"pg 29",400
"pg 29",450
"pg 29",350
"pg 29",450
"pg 29",400
"pg 29",500
"pg 29",500
"pg 29",400
"pg 29",300
"pg 29",305
"pg 29",450
"pg 62",550
"pg 62",700
"pg 62",550
"pg 62",450
"pg 62",450
"pg 62",450
"pg 62",400
"pg 62",500
"pg 62",550
"pg 62",550
"pg 62",600
"pg 62",420
"pg 62",450
"pg 62",500
"pg 62",450
"pg 62",550
"pg 62",500
"pg 62",450
"pg 62",400
"pg 62",450
"pg 62",550
"pg 62",450
"pg 62",500
"pg 62",400
"pg 62",350
"pg 62",350
"pg 62",250
"pg 62",400
"pg 62",500
"pg 62",550
"pg 62",550
"pg 62",500
"pg 62",500
"pg 62",400
"pg 62",580
"pg 62",500
"pg 62",600
"pg 62",550
"pg 62",550
"pg 62",500
"pg 62",500
"pg 62",550
"pg 62",550
"pg 62",550
"pg 62",550
"pg 62",500
"pg 62",500
"pg 62",505
"pg 62",480
"pg 62",360
"pg 62",430
"pg 62",440
"pg 62",400
"pg 62",350
"pg 62",400
"pg 62",450
"pg 62",500
"pg 62",400
"pg 62",500
"pg 62",500
"pg 62",450
"pg 62",350
"pg 62",470
"pg 62",310
"pg 62",310
"pg 62",350
"pg 62",550
"pg 62",490
"pg 62",390
"pg 62",450
"pg 62",490
