NAME,VALUE
"pgap 13",500
"pgap 13",500
"pgap 13",550
"pgap 13",500
"pgap 13",500
"pgap 13",500
"pgap 13",600
"pgap 13",560
"pgap 13",680
"pgap 13",500
"pgap 13",600
"pgap 13",680
"pgap 13",400
"pgap 13",500
"pgap 13",540
"pgap 13",550
"pgap 13",500
"pgap 13",410
"pgap 13",430
"pgap 13",500
"pgap 13",450
"pgap 22",350
"pgap 22",400
"pgap 22",300
"pgap 22",300
"pgap 22",300
"pgap 22",300
"pgap 22",290
"pgap 22",300
"pgap 22",350
"pgap 22",305
"pgap 22",450
"pgap 22",350
"pgap 22",300
"pgap 22",400
"pgap 22",380
"pgap 22",280
"pgap 22",250
"pgap 22",350
"pgap 22",330
"pgap 22",300
"pgap 22",300
"pgap 22",350
"pgap 22",340
"pgap 22",300
"pgap 22",300
"pgap 22",290
"pgap 22",350
"pgap 22",300
"pgap 22",300
"pgap 33",450
"pgap 33",490
"pgap 33",530
"pgap 33",650
"pgap 33",650
"pgap 33",600
"pgap 33",500
"pgap 33",550
"pgap 33",600
"pgap 33",600
"pgap 33",650
"pgap 33",600
"pgap 33",600
"pgap 33",650
"pgap 33",600
"pgap 33",650
"pgap 33",650
"pgap 33",650
"pgap 33",600
"pgap 33",700
"pgap 33",400
"pgap 33",550
"pgap 33",400
"pgap 33",580
"pgap 33",510
"pgap 33",400
"pgap 33",500
"pgap 33",500
"pgap 35",450
"pgap 35",360
"pgap 35",550
"pgap 35",550
"pgap 35",650
"pgap 35",600
"pgap 35",500
"pgap 35",500
"pgap 35",610
"pgap 35",670
"pgap 35",650
"pgap 35",640
"pgap 35",530
"pgap 35",600
"pgap 35",450
"pgap 35",550
"pgap 35",600
"pgap 35",500
"pgap 35",650
"pgap 35",600
"pgap 35",550
"pgap 35",650
"pgap 35",480
"pgap 35",550
"pgap 35",600
"pgap 35",450
"pgap 35",500
"pgap 35",500
"pgap 35",550
"pgap 35",550
"pgap 35",570
"pgap 36",400
"pgap 36",400
"pgap 36",430
"pgap 36",400
"pgap 36",400
"pgap 36",650
"pgap 36",500
"pgap 36",500
"pgap 36",500
"pgap 36",400
"pgap 36",410
"pgap 36",350
"pgap 36",590
"pgap 36",400
"pgap 36",450
"pgap 36",550
"pgap 36",500
"pgap 36",550
"pgap 36",480
"pgap 36",550
"pgap 36",600
"pgap 36",600
"pgap 36",600
"pgap 36",650
"pgap 36",650
"pgap 36",650
"pgap 36",430
"pgap 36",480
"pgap 36",450
"pgap 36",520
"pgap 36",500
"pgap 36",450
"pgap 36",450
"pgap 36",450
"pgap 36",500
"pgap 36",500
"pgap 36",400
"pgap 36",400
"pgap 36",500
"pgap 36",580
"pgap 36",400
"pgap 39",650
"pgap 39",600
"pgap 39",550
"pgap 39",450
"pgap 39",610
"pgap 39",605
"pgap 39",550
"pgap 39",650
"pgap 39",650
"pgap 39",500
"pgap 39",500
"pgap 39",500
"pgap 39",500
"pgap 39",600
"pgap 39",500
"pgap 39",600
"pgap 39",650
"pgap 39",550
"pgap 39",500
"pgap 39",510
"pgap 39",600
"pgap 39",650
"pgap 39",650
"pgap 39",550
"pgap 39",450
"pgap 39",630
"pgap 39",610
"pgap 39",550
"pgap 39",640
"pgap 39",580
"pgap 39",600
"pgap 39",550
"pgap 39",600
"pgap 39",450
"pgap 39",460
"pgap 39",650
"pgap 39",350
"pgap 39",400
"pgap 39",580
"pgap 39",500
"pgap 39",550
"pgap 4",350
"pgap 4",300
"pgap 4",250
"pgap 4",400
"pgap 4",360
"pgap 4",400
"pgap 4",350
"pgap 4",430
"pgap 4",400
"pgap 4",350
"pgap 4",310
"pgap 4",300
"pgap 4",300
"pgap 4",320
"pgap 4",380
"pgap 4",400
"pgap 4",405
"pgap 4",450
"pgap 4",380
"pgap 4",350
"pgap 4",390
"pgap 4",350
"pgap 4",350
"pgap 4",350
"pgap 4",350
"pgap 4",300
"pgap 4",250
"pgap 4",250
"pgap 4",400
"pgap 4",400
"pgap 4",400
"pgap 4",380
"pgap 4",350
"pgap 4",300
