NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"29bp 11",32.56,39.2,1.20393
"29bp 11",28.28,33.38,1.18034
"29bp 11",28.05,29.99,1.06916
"29bp 11",28.02,33.41,1.19236
"29bp 11",29.12,33.12,1.13736
"29bp 11",28.02,33.41,1.19236
"29bp 11",29.12,33.12,1.13736
"29bp 11",33.06,29.44,0.890502
"29bp 11",28.15,30.56,1.08561
"29bp 11",25.85,28.03,1.08433
"29bp 11",30.39,42.53,1.39947
"29bp 11",22.64,33.56,1.48233
"29bp 11",24.85,34.51,1.38873
"29bp 11",25.94,33.48,1.29067
"29bp 11",24.3,23.67,0.974074
"29bp 11",26.76,23.67,0.884529
"29bp 11",23.02,25.16,1.09296
"29bp 11",26.77,35.37,1.32126
"29bp 11",25.94,26.55,1.02352
"29bp 11",25.08,30.43,1.21332
"29bp 11",26.81,36.49,1.36106
"29bp 11",24.02,31.08,1.29392
"29bp 11",28.63,36.58,1.27768
"29bp 11",26.99,34.06,1.26195
"29bp 11",25.64,34.36,1.34009
"29bp 13",33.42,30.35,0.908139
"29bp 13",32.16,29.67,0.922575
"29bp 13",25.27,31.17,1.23348
"29bp 13",26.92,30.61,1.13707
"29bp 13",36.22,35.92,0.991717
"29bp 13",39.14,34.92,0.892182
"29bp 13",32.09,37.56,1.17046
"29bp 13",26.15,31.73,1.21338
"29bp 13",29.74,35.6,1.19704
"29bp 13",27.06,32.05,1.1844
"29bp 13",24.22,26.22,1.08258
"29bp 13",26.05,28.51,1.09443
"29bp 13",25.98,27.51,1.05889
"29bp 13",24.1,27.94,1.15934
"29bp 13",24.03,26.14,1.08781
"29bp 13",28.74,29.42,1.02366
"29bp 13",29.81,32.21,1.08051
"29bp 13",27.23,31.93,1.1726
"29bp 13",25.22,28.54,1.13164
"29bp 13",25.33,27.12,1.07067
"29bp 13",24.33,32.54,1.33744
"29bp 13",24.17,26.8,1.10881
"29bp 13",24.79,25.45,1.02662
"29bp 13",23.73,24.23,1.02107
"29bp 13",23.51,23.01,0.978732
"29bp 13",20.86,23.3,1.11697
"29bp 14",23.86,25.22,1.057
"29bp 14",26.96,26.88,0.997033
"29bp 14",27.97,33.31,1.19092
"29bp 14",27.7,60.67,2.19025
"29bp 14",23.4,32.36,1.38291
"29bp 14",24.7,31.68,1.28259
"29bp 14",27.09,22.4,0.826873
"29bp 14",29.7,34.77,1.17071
"29bp 14",26.36,37.95,1.43968
"29bp 14",24.54,31.54,1.28525
"29bp 14",24.31,32.33,1.32991
"29bp 14",29.24,34.51,1.18023
"29bp 14",24.35,27.68,1.13676
"29bp 14",25.87,26.31,1.01701
"29bp 15",26.34,31.92,1.21185
"29bp 15",3696,27.09,0.00732955
"29bp 15",32.07,32.2,1.00405
"29bp 15",28.85,28.58,0.990641
"29bp 15",22.9,30.49,1.33144
"29bp 15",31.73,29.8,0.939174
"29bp 15",30.06,36.04,1.19894
"29bp 15",32.34,39.42,1.21892
"29bp 15",20.81,24.78,1.19077
"29bp 15",25.07,23.38,0.932589
"29bp 15",34.17,34.02,0.99561
"29bp 15",38.46,42.25,1.09854
"29bp 15",30.46,37.24,1.22259
"29bp 15",28.88,35.73,1.23719
