NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"apae 1",30.57,42.05,1.37553
"apae 1",38.03,40.8,1.07284
"apae 1",31.15,35.85,1.15088
"apae 1",38.34,39.91,1.04095
"apae 1",33.97,39.04,1.14925
"apae 1",34.11,45.23,1.326
"apae 1",27.25,41.23,1.51303
"apae 1",30.63,38.84,1.26804
"apae 1",31.38,34.55,1.10102
"apae 1",24.67,33.29,1.34941
"apae 1",25.36,32.04,1.26341
"apae 1",24.76,36.76,1.48465
"apae 1",26.37,31.63,1.19947
"apae 1",28.02,40.59,1.44861
"apae 1",26.69,35.96,1.34732
"apae 1",27.9,34.8,1.24731
"apae 1",27.03,33.51,1.23973
"apae 1",28.89,43.53,1.50675
"apae 1",31.35,51.04,1.62807
"apae 1",23.31,31.41,1.34749
"apae 1",25.04,32.61,1.30232
"apae 1",25.02,36.17,1.44564
"apae 1",25.51,33,1.29361
"apae 1",22.71,37.26,1.64069
"apae 1",21.59,32.49,1.50486
"apae 1",23.56,37.35,1.58531
"apae 1",22.21,30.27,1.3629
"apae 1",25.9,27.74,1.07104
"apae 1",22.3,33.92,1.52108
"apae 1",28.23,24.36,0.862912
"apae 1",33.46,38.05,1.13718
"apae 1",26.096,35.35,1.35461
"apae 1",26.41,31.31,1.18554
"apae 1",24.8,36.24,1.46129
"apae 1",24.79,36.05,1.45422
"apae 1",35.96,37.28,1.03671
"apae 1",28.77,33.37,1.15989
"apae 1",23.94,37,1.54553
"apae 1",23.24,37.96,1.63339
"apae 1",29.45,38.62,1.31138
"apae 1",26.51,34.04,1.28404
"apae 1",31.11,45.3,1.45612
"apae 1",29.01,43.16,1.48776
"apae 1",21.98,32.46,1.4768
"apae 1",21.25,32.03,1.50729
"apae 1",24.8,37.27,1.50282
"apae 1",25.36,39.78,1.56861
"apae 1",26.73,38.5,1.44033
"apae 1",26.84,34.87,1.29918
"apae 1",26.97,30.31,1.12384
"apae 1",31.26,37.24,1.1913
"apae 1",25.46,36.74,1.44305
"apae 1",26.41,38.23,1.44756
"apae 1",24.31,28.24,1.16166
"apae 1",22.34,30.2,1.35184
"apae 1",27.8,26.39,0.949281
"apae 1",26.85,37.42,1.39367
"apae 1",25.11,32.77,1.30506
"apae 1",24.63,36.45,1.4799
"apae 1",24.74,32.1,1.29749
"apae 1",19.34,31.47,1.6272
"apae 1",28.54,35.33,1.23791
"apae 1",22.91,32.97,1.43911
"apae 1",27.69,40.11,1.44854
"apae 1",25.52,38.42,1.50549
"apae 1",20.95,35.71,1.70453
"apae 1",26.64,37.79,1.41854
"apae 1",25.8,38.58,1.49535
"apae 1",28.24,38.92,1.37819
"apae 1",26.94,35.75,1.32702
"apae 1",28.31,36.99,1.30661
"apae 1",24.02,38.68,1.61032
"apae 1",23.82,35.22,1.47859
"apae 1",24.86,39.95,1.607
"apae 1",26.88,40.14,1.4933
"apae 1",25.6,41.74,1.63047
"apae 1",31.71,50.26,1.58499
"apae 1",27.5,43.41,1.57855
"apae 1",27.02,39.49,1.46151
"apae 1",25.95,40.65,1.56647
"apae 1",25.31,34.7,1.371
"apae 1",33.22,37.34,1.12402
"apae 1",24.39,30.18,1.23739
"apae 1",25.22,41.15,1.63164
"apae 1",29.91,37.32,1.24774
"apae 1",24.84,40.68,1.63768
"apae 1",24.3,26.06,1.07243
"apae 1",21.82,25.77,1.18103
"apae 1",19.22,28.63,1.48959
"apae 1",32.33,30.7,0.949582
"apae 1",21.52,33.62,1.56227
"apae 1",26.39,37.92,1.43691
"apae 1",22.59,28.42,1.25808
"apae 1",24.4,27.5,1.12705
"apae 1",18.73,34.67,1.85104
"apae 1",27.28,41.69,1.52823
"apae 1",25.89,30.74,1.18733
"apae 1",27.14,37.42,1.37878
"apae 1",21.75,31.53,1.44966
"apae 1",19.57,39.05,1.9954
"apae 1",19.67,39.33,1.99949
"apae 1",26.5,29.57,1.11585
"apae 1",28.26,40.05,1.4172
"apae 1",31.02,39.26,1.26564
"apae 1",22.82,32.81,1.43777
"apae 1",28.79,31.07,1.07919
"apae 13",25.14,32.14,1.27844
"apae 13",30.55,26.37,0.863175
"apae 13",29.54,30.32,1.0264
"apae 13",32.29,37.98,1.17622
"apae 13",23.71,30.37,1.28089
"apae 13",37.71,42.45,1.1257
"apae 13",34.23,49.41,1.44347
"apae 13",25.06,34.05,1.35874
"apae 13",22.96,32.78,1.4277
"apae 13",32.88,34.8,1.05839
"apae 13",25.05,30.46,1.21597
"apae 13",26.67,33.88,1.27034
"apae 13",24.92,26.83,1.07665
"apae 13",22.45,30.79,1.37149
"apae 13",26.67,32.48,1.21785
"apae 13",23.05,31.95,1.38612
"apae 13",33.77,38.03,1.12615
"apae 13",22.06,34.88,1.58114
"apae 13",22.46,29.73,1.32369
"apae 13",25.08,20.84,0.830941
"apae 13",23.49,32.67,1.3908
"apae 13",24.47,35.34,1.44422
"apae 13",21.77,32.64,1.49931
"apae 13",22.86,27.95,1.22266
"apae 13",27.45,33.87,1.23388
