NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"apel 14",29.43,32.14,1.09208
"apel 14",27.12,27.5,1.01401
"apel 14",22.13,29.7,1.34207
"apel 14",26.15,30.77,1.17667
"apel 14",32.36,29.27,0.904512
"apel 14",23.41,26.4,1.12772
"apel 14",24.67,29.45,1.19376
"apel 14",26.95,27.98,1.03822
"apel 14",25.45,34.79,1.36699
"apel 14",22.33,34.26,1.53426
"apel 14",28.95,27.57,0.952332
"apel 14",25.04,21.02,0.839457
"apel 14",22.54,21.02,0.932564
"apel 14",26.52,16.41,0.618778
"apel 14",30.21,26.77,0.88613
"apel 21",36.8,39.36,1.06957
"apel 21",31.66,39.61,1.25111
"apel 21",33.27,40.51,1.21761
"apel 21",33.15,43.58,1.31463
"apel 21",30.45,32.91,1.08079
"apel 21",29.01,32.71,1.12754
"apel 21",29.75,34.23,1.15059
"apel 21",27.35,37.76,1.38062
"apel 21",20.07,44.81,2.23269
"apel 21",29.41,38.73,1.3169
"apel 21",23.71,32.48,1.36989
"apel 21",34.49,41.46,1.20209
"apel 21",28.84,33.58,1.16436
"apel 21",27.15,38.58,1.42099
"apel 21",30.4,36.72,1.20789
"apel 21",28.88,31.63,1.09522
"apel 21",23.51,36.75,1.56316
"apel 21",27.9,32,1.14695
"apel 21",30.44,33.35,1.0956
"apel 21",29.72,32.68,1.0996
"apel 21",29.29,41.35,1.41174
"apel 21",27.95,32.98,1.17996
"apel 21",27.8,37.59,1.35216
"apel 21",35.85,33.27,0.928033
"apel 21",40.5,35.48,0.876049
"apel 21",33.33,24.76,0.742874
"apel 21",32.32,33.74,1.04394
"apel 21",25.22,31.87,1.26368
"apel 23",31.12,20.87,0.67063
"apel 23",30.91,22.81,0.737949
"apel 23",27.14,28.93,1.06595
"apel 23",22.53,25.06,1.11229
"apel 23",31.34,28.51,0.9097
"apel 23",23.49,29.77,1.26735
"apel 23",21.24,22.36,1.05273
"apel 23",20.14,28.34,1.40715
"apel 23",23.51,18.55,0.789026
"apel 23",25.59,23.45,0.916374
"apel 23",25.64,32.47,1.26638
"apel 23",28.37,20.19,0.711667
"apel 23",27.92,22.15,0.793338
"apel 39",26.31,30.52,1.16002
"apel 39",34.17,26.58,0.777875
"apel 39",27.31,33.42,1.22373
"apel 39",26.12,24.13,0.923813
"apel 39",26.41,25.14,0.951912
"apel 39",23.58,21.55,0.91391
"apel 39",28.37,20.02,0.705675
"apel 39",30.11,31.67,1.05181
"apel 39",38.46,31.46,0.817993
"apel 39",31.34,29.3,0.934907
"apel 39",25.17,24.7,0.981327
"apel 39",23.74,23.11,0.973463
"apel 39",29.12,27.22,0.934753
"apel 39",23.74,22.31,0.939764
"apel 39",22.04,32.18,1.46007
"apel 39",34.61,32.31,0.933545
"apel 39",33.62,25.61,0.761749
"apel 39",28.22,22.96,0.813607
"apel 39",28.18,32.17,1.14159
"apel 39",28.13,19,0.675435
"apel 39",30.37,34.24,1.12743
"apel 39",29.55,23.65,0.800338
"apel 39",30.24,37.13,1.22784
"apel 39",25.75,20.9,0.811651
"apel 39",28.88,17.88,0.619114
