NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"bgal 24",33.17,39.17,1.18089
"bgal 24",31.6,34.89,1.10411
"bgal 24",25.7,30.46,1.18521
"bgal 24",22.78,30.32,1.33099
"bgal 24",25.49,31.65,1.24166
"bgal 24",25.42,24.3,0.95594
"bgal 24",25.13,25.72,1.02348
"bgal 24",27.55,30.54,1.10853
"bgal 24",27.31,34.82,1.27499
"bgal 24",28.4,41.49,1.46092
"bgal 24",23.92,31.33,1.30978
"bgal 24",19.99,27.38,1.36968
"bgal 24",28.07,31.78,1.13217
"bgal 24",25.42,33.39,1.31353
"bgal 24",28.42,39.59,1.39303
"bgal 24",24.99,30.88,1.23569
"bgal 24",26.56,25.96,0.97741
"bgal 24",22.58,30.59,1.35474
"bgal 24",25.91,25.84,0.997298
"bgal 24",24.54,23.57,0.960473
"bgal 24",23.79,22.72,0.955023
"bgal 24",26.68,33.95,1.27249
"bgal 24",24.79,29.09,1.17346
"bgal 24",27.21,29.89,1.09849
"bgal 24",20.5,23.02,1.12293
"bgal 24",21.44,18.24,0.850746
"bgal 24",17.73,25.8,1.45516
"bgal 24",19.54,16.69,0.854145
"bgal 24",17.16,25.38,1.47902
"bgal 24",28.97,22.97,0.792889
"bgal 24",19.11,29.26,1.53114
"bgal 24",18.02,26.58,1.47503
"bgal 24",23.47,24.01,1.02301
"bgal 24",25.01,31.22,1.2483
"bgal 24",25.03,34.66,1.38474
"bgal 24",26.15,26.3,1.00574
"bgal 24",19.36,28.92,1.4938
"bgal 24",24.99,22.77,0.911164
"bgal 24",19.11,25.21,1.3192
"bgal 24",23.48,35.21,1.49957
"bgal 24",26.18,39.86,1.52254
"bgal 24",22.59,34.79,1.54006
"bgal 24",26.25,29.94,1.14057
"bgal 24",24.36,31.51,1.29351
"bgal 27",36.03,48.84,1.35554
"bgal 27",36.27,50.33,1.38765
"bgal 27",32.14,47.66,1.48289
"bgal 27",31.74,44.74,1.40958
"bgal 27",31.47,39.05,1.24086
"bgal 27",32.91,39.74,1.20754
"bgal 27",33.61,44.99,1.33859
"bgal 27",30.83,40.69,1.31982
"bgal 27",35.1,43.2,1.23077
"bgal 27",29.5,39.27,1.33119
"bgal 27",30.56,39,1.27618
"bgal 27",30.27,29.79,0.984143
"bgal 27",29.87,37.57,1.25778
"bgal 27",30.66,42.23,1.37736
"bgal 27",28.71,33.74,1.1752
"bgal 27",27.75,37.48,1.35063
"bgal 27",29.59,31.88,1.07739
"bgal 27",31.38,33.62,1.07138
"bgal 27",28.71,35.85,1.24869
"bgal 27",24.87,30.96,1.24487
"bgal 27",30.49,37.03,1.2145
"bgal 27",27.91,35.71,1.27947
"bgal 27",30.85,36.86,1.19481
"bgal 27",30.24,41.8,1.38228
"bgal 27",30.94,34.63,1.11926
"bgal 27",34.91,38.72,1.10914
"bgal 27",34.25,42.62,1.24438
"bgal 27",30.46,38.52,1.26461
"bgal 27",29.05,33.45,1.15146
"bgal 27",27.91,31.42,1.12576
"bgal 27",29.04,29.04,1
"bgal 27",34.88,23.48,0.673165
