NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"bgali 22",28.59,32.41,1.13361
"bgali 22",23.49,33.82,1.43976
"bgali 22",22.1,28.51,1.29005
"bgali 22",20.09,23.27,1.15829
"bgali 22",27.17,29.49,1.08539
"bgali 22",28.15,31.36,1.11403
"bgali 22",22.76,30.5,1.34007
"bgali 22",34.55,31.88,0.922721
"bgali 22",21.64,31.08,1.43623
"bgali 22",25.58,26.46,1.0344
"bgali 22",27.12,35.03,1.29167
"bgali 22",31.72,22.65,0.714061
"bgali 22",30.44,25.88,0.850197
"bgali 22",23.08,23.65,1.0247
"bgali 22",22.11,21.73,0.982813
"bgali 22",20.65,26.64,1.29007
"bgali 22",25.5,27.81,1.09059
"bgali 22",27.71,30.6,1.10429
"bgali 22",24.11,25.12,1.04189
"bgali 22",24.37,25.01,1.02626
"bgali 12",27.35,42.5,1.55393
"bgali 12",26.3,46.1,1.75285
"bgali 12",25.3,40.07,1.58379
"bgali 12",25.4,37.2,1.46457
"bgali 12",25.4,42.3,1.66535
"bgali 12",21.3,38.2,1.79343
"bgali 12",22.4,36.4,1.625
"bgali 12",24.02,38.4,1.59867
"bgali 12",28.13,28.99,1.03057
"bgali 12",21.9,27.26,1.24475
"bgali 12",22.3,26.13,1.17175
"bgali 12",24.38,23.08,0.946678
"bgali 12",22.4,30.27,1.35134
"bgali 12",23.36,28.13,1.2042
"bgali 12",24.31,27.36,1.12546
"bgali 12",25.35,30.83,1.21617
"bgali 12",22.98,29.72,1.2933
"bgali 12",20.4,31.13,1.52598
"bgali 13",25.7,36.6,1.42412
"bgali 13",26.4,34.2,1.29545
"bgali 13",26.2,30.2,1.15267
"bgali 13",25.3,34.09,1.34743
"bgali 13",23.7,32.61,1.37595
"bgali 13",28.6,35.9,1.25524
"bgali 13",30.6,40.1,1.31046
"bgali 13",27.2,33.6,1.23529
"bgali 13",25.3,33.2,1.31225
"bgali 13",21.62,15.45,0.714616
"bgali 13",20.61,18.15,0.88064
"bgali 13",26.71,20.26,0.758517
"bgali 13",26.17,30.75,1.17501
"bgali 13",29.46,36.43,1.23659
"bgali 13",24.75,32.94,1.33091
"bgali 13",25.44,27.93,1.09788
"bgali 13",24.78,28.14,1.13559
"bgali 13",29.45,26.83,0.911036
"bgali 13",30.04,34.14,1.13648
"bgali 13",25.84,28.33,1.09636
"bgali 13",20.59,27.73,1.34677
"bgali 13",25.68,33.4,1.30062
"bgali 13",24.65,33.36,1.35335
"bgali 13",23.22,31.99,1.37769
"bgali 13",21.41,26.77,1.25035
"bgali 13",30.59,39.57,1.29356
"bgali 13",22.53,29.89,1.32668
"bgali 13",23.74,25.21,1.06192
"bgali 13",22.72,30.01,1.32086
"bgali 13",26.74,31.6,1.18175
"bgali 13",24.11,26.89,1.1153
"bgali 13",21.5,28.19,1.31116
"bgali 13",27.36,38.84,1.41959
"bgali 13",25.45,32.31,1.26955
"bgali 13",23.99,32.28,1.34556
"bgali 13",25.88,26.58,1.02705
"bgali 13",26.13,28.41,1.08726
"bgali 13",23.99,30.89,1.28762
"bgali 13",24.64,28.3,1.14854
"bgali 2",27.35,33.12,1.21097
"bgali 2",24.5,43.7,1.78367
"bgali 2",25.72,36.2,1.40746
"bgali 2",20.19,27.31,1.35265
"bgali 2",18.23,19.14,1.04992
"bgali 2",20.4,28.23,1.38382
"bgali 2",19.97,23.5,1.17677
"bgali 2",20.83,24.92,1.19635
"bgali 2",22.92,26.71,1.16536
"bgali 2",17.04,28.11,1.64965
"bgali 2",21.32,32.27,1.5136
"bgali 2",19.57,24.6,1.25703
