NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"bp 1",34.55,36.11,1.04515
"bp 1",24.66,20.2,0.81914
"bp 1",24.7,18.69,0.75668
"bp 1",24.67,25.64,1.03932
"bp 1",20.11,19.4,0.964694
"bp 1",23.54,27.47,1.16695
"bp 1",21.71,31.42,1.44726
"bp 1",18.07,29.21,1.61649
"bp 1",20.8,20.07,0.964904
"bp 1",22.28,21.92,0.983842
"bp 1",24.75,25.14,1.01576
"bp 1",21.1,20.76,0.983886
"bp 1",22.4,20.15,0.899554
"bp 10",26.5,38.82,1.46491
"bp 10",26.27,31.43,1.19642
"bp 10",27.81,33.68,1.21108
"bp 10",27.76,29.7,1.06988
"bp 10",26.31,35.13,1.33523
"bp 10",23.71,26.46,1.11598
"bp 10",21.24,22.5,1.05932
"bp 10",29.03,34.28,1.18085
"bp 10",19.4,30.82,1.58866
"bp 10",24.45,30.79,1.2593
"bp 10",22.18,32.29,1.45582
"bp 10",28.11,31.4,1.11704
"bp 10",30.3,28.89,0.953465
"bp 10",27.24,34.31,1.25954
"bp 10",25.81,27.66,1.07168
"bp 10",26.54,33.37,1.25735
"bp 10",21.95,32.89,1.49841
"bp 10",24.04,31.97,1.32987
"bp 10",23.13,29.46,1.27367
"bp 10",22.1,27.78,1.25701
"bp 10",18.71,29.19,1.56013
"bp 10",30.07,34.57,1.14965
"bp 10",27.37,32.46,1.18597
"bp 10",25.43,30.74,1.20881
"bp 10",23.64,28.07,1.18739
"bp 10",26.7,31.87,1.19363
"bp 10",23.21,31.62,1.36234
"bp 10",25,29.09,1.1636
"bp 10",21.39,30.25,1.41421
"bp 10",23.64,28.93,1.22377
"bp 10",21.51,29.57,1.37471
"bp 13",26.74,39.38,1.4727
"bp 13",35.01,21.47,0.613253
"bp 13",24.96,27.85,1.11579
"bp 13",19.96,27.86,1.39579
"bp 13",18.07,24.62,1.36248
"bp 13",20.51,26.15,1.27499
"bp 13",19.42,35.64,1.83522
"bp 14",36.38,36.85,1.01292
"bp 14",29.69,36.25,1.22095
"bp 14",32.43,38.54,1.18841
"bp 14",32.83,37.76,1.15017
"bp 14",31.17,32.32,1.03689
"bp 14",29.6,40.27,1.36047
"bp 14",22.43,31,1.38208
"bp 14",25.43,32.8,1.28982
"bp 14",27.33,33.37,1.221
"bp 14",30.75,31.66,1.02959
"bp 14",31.55,31.73,1.00571
"bp 14",27.86,30.28,1.08686
"bp 14",29.17,32.39,1.11039
"bp 14",24.51,24.9,1.01591
"bp 14",21.52,19.87,0.923327
"bp 14",17.61,24.08,1.3674
"bp 14",19.83,44.55,2.2466
"bp 16",35.01,32.27,0.921737
"bp 16",26.74,33.34,1.24682
"bp 16",28.55,33.75,1.18214
"bp 16",23.91,35.68,1.49226
"bp 16",23.24,34.13,1.46859
"bp 16",22.61,27.88,1.23308
"bp 16",26.43,44.45,1.6818
"bp 16",27.53,44.66,1.62223
"bp 16",27.49,27.92,1.01564
"bp 16",21.8,23.88,1.09541
"bp 16",27.41,43.07,1.57132
"bp 16",25.77,38.11,1.47885
"bp 16",25.94,32.67,1.25944
"bp 16",25.28,29.14,1.15269
"bp 19",35.29,31.62,0.896005
"bp 19",23.72,36.81,1.55185
"bp 19",28.97,38.54,1.33034
"bp 19",29.92,25.99,0.86865
"bp 19",27.13,29.35,1.08183
"bp 19",23.86,27.27,1.14292
"bp 2",27.04,38.96,1.44083
"bp 2",32.59,30.3,0.929733
"bp 2",25.72,32.24,1.2535
"bp 2",22.04,27.06,1.22777
"bp 2",21.95,25.26,1.1508
"bp 2",28.38,32.59,1.14834
"bp 2",25.92,29.71,1.14622
"bp 2",25.67,23.44,0.913128
"bp 2",27.43,22.09,0.805323
"bp 2",25.3,23.73,0.937945
"bp 2",28.34,28.7,1.0127
"bp 2",29.02,31.42,1.0827
"bp 2",25.64,33.31,1.29914
"bp 2",22.43,39.51,1.76148
"bp 2",21.5,28.99,1.34837
"bp 3",24.49,29.64,1.21029
"bp 3",25.11,29.22,1.16368
"bp 3",22.89,21.4,0.934906
"bp 3",20.56,19.65,0.955739
"bp 3",23.92,21.95,0.917642
"bp 3",26.55,26.54,0.999623
"bp 3",28.12,27.12,0.964438
"bp 3",20.82,29.76,1.42939
"bp 3",22.88,29.14,1.2736
"bp 3",20.01,26.85,1.34183
"bp 4",36.12,34.49,0.954873
"bp 4",30.24,33.15,1.09623
"bp 4",28.32,30.41,1.0738
"bp 4",27.36,32.1,1.17325
"bp 4",25.06,32.84,1.31045
"bp 4",26.71,28.5,1.06702
"bp 4",27.62,32.7,1.18392
"bp 4",25.21,25.67,1.01825
"bp 4",24.42,26.52,1.086
"bp 4",28.64,25.59,0.893506
"bp 5",27.41,45.04,1.6432
"bp 5",30.78,49.6,1.61144
"bp 5",30.25,52.55,1.73719
"bp 5",25.41,40.61,1.59819
"bp 5",24.41,39.75,1.62843
"bp 5",26.74,31.81,1.1896
"bp 5",21.92,29.16,1.33029
"bp 5",24.96,23.64,0.947115
"bp 5",32.94,24.88,0.755313
"bp 5",27.72,26.55,0.957792
"bp 5",25.59,33.82,1.32161
"bp 5",25.76,33.84,1.31366
"bp 5",20.31,33.69,1.65879
"bp 5",25.13,35.35,1.40669
"bp 5",24.52,32.13,1.31036
"bp 5",25.23,33.71,1.33611
"bp 5",26.61,42.41,1.59376
"bp 5",24.95,33.49,1.34228
"bp 5",28.73,32.47,1.13018
"bp 5",28.33,37.51,1.32404
"bp 7",21.7,25.54,1.17696
