NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"pg 29",29.54,43.83,1.48375
"pg 29",28.44,40.86,1.43671
"pg 29",30.41,39.27,1.29135
"pg 29",29.03,44.31,1.52635
"pg 29",27.47,46.9,1.70732
"pg 29",29.74,40.12,1.34902
"pg 29",28.23,41.62,1.47432
"pg 29",27.36,36.06,1.31798
"pg 29",26.34,38.59,1.46507
"pg 29",27.07,38.7,1.42963
"pg 29",24.46,40.32,1.64841
"pg 29",27.04,34.96,1.2929
"pg 29",26.1,29.9,1.14559
"pg 29",25.68,39.2,1.52648
"pg 29",24.22,36.9,1.52353
"pg 29",26.5,40.3,1.52075
"pg 29",25.36,44.72,1.76341
"pg 29",26.78,36.74,1.37192
"pg 29",30.65,44.67,1.45742
"pg 29",30.32,38.26,1.26187
"pg 29",25.87,30.81,1.19095
"pg 29",27.39,41.35,1.50968
"pg 29",29.11,38.24,1.31364
"pg 29",29.1,35.7,1.2268
"pg 29",23.43,37.15,1.58557
"pg 29",23.22,36.27,1.56202
"pg 29",24.15,33.11,1.37101
"pg 29",23.8,32.92,1.38319
"pg 29",30.95,34.63,1.1189
"pg 29",27.47,41.92,1.52603
"pg 29",27.19,38.12,1.40199
"pg 29",31.12,39.38,1.26542
"pg 29",25.05,36.75,1.46707
"pg 29",26.45,34.51,1.30473
"pg 29",23.24,34.34,1.47762
"pg 29",23.62,32.64,1.38188
"pg 29",23.7,35.73,1.50759
"pg 29",23.51,29.8,1.26755
"pg 29",24.04,31.18,1.297
"pg 29",25.95,30.82,1.18767
"pg 29",25.08,31.03,1.23724
"pg 29",24.73,34.91,1.41165
"pg 29",27.06,34.19,1.26349
"pg 29",29.26,37.14,1.26931
"pg 29",23.19,37.75,1.62786
"pg 29",28.15,30.62,1.08774
"pg 29",26.43,29.14,1.10254
"pg 29",25.72,31.59,1.22823
"pg 29",31.12,27.4,0.880463
"pg 29",29.3,27.77,0.947782
"pg 29",28.01,39.91,1.42485
"pg 29",30.01,34.84,1.16095
"pg 29",29.02,28.67,0.987939
"pg 29",29.16,34.8,1.19342
"pg 29",28.64,26.84,0.937151
"pg 29",27.17,36.4,1.33971
"pg 29",29.73,19.6,0.659267
"pg 29",28.89,32.62,1.12911
"pg 29",32.18,32.33,1.00466
"pg 29",26.55,40.61,1.52957
"pg 29",32.1,36.83,1.14735
"pg 29",27.09,34.3,1.26615
"pg 29",32.62,32.62,1
"pg 29",25.6,25.6,1
"pg 29",29.33,29.33,1
"pg 29",25.34,25.34,1
"pg 29",26.24,24.75,0.943216
"pg 29",32.4,27.25,0.841049
"pg 29",29.87,39.79,1.33211
"pg 29",28.28,40.22,1.42221
"pg 29",30.13,29.57,0.981414
"pg 29",22.38,33.54,1.49866
"pg 29",26.6,29.01,1.0906
"pg 29",25.71,34.6,1.34578
"pg 29",28.36,36.11,1.27327
"pg 29",29.27,41.22,1.40827
"pg 29",30.71,38.06,1.23934
"pg 29",29.08,34.28,1.17882
"pg 29",27.63,26.26,0.950416
"pg 29",25.22,24.39,0.96709
"pg 29",28.17,27.22,0.966276
"pg 29",27.72,28.34,1.02237
"pg 29",25.95,27.03,1.04162
"pg 29",27.74,36.56,1.31795
"pg 29",30,37.09,1.23633
"pg 29",28.96,34.16,1.17956
"pg 29",26.76,31.92,1.19283
"pg 29",26.96,33.68,1.24926
"pg 29",26.24,33.54,1.2782
"pg 29",27.04,36.21,1.33913
"pg 29",32.64,32.5,0.995711
"pg 29",28.09,28.14,1.00178
"pg 62",28.3,38.9,1.37456
"pg 62",29.7,43.2,1.45455
"pg 62",28.73,43.16,1.50226
"pg 62",29.97,40.14,1.33934
"pg 62",27.11,43.91,1.6197
"pg 62",26.2,38.5,1.46947
"pg 62",30.2,34.4,1.13907
"pg 62",27.8,39.7,1.42806
"pg 62",28.32,47.16,1.66525
"pg 62",32.56,44.7,1.37285
"pg 62",32.86,39.67,1.20724
