NAME,WIDTH_VALUE,LENGTH_VALUE,RATIO
"pgap 13",27.51,13.4,0.487096
"pgap 13",25.56,28.05,1.09742
"pgap 13",25.1,36.12,1.43904
"pgap 13",24.2,35.3,1.45868
"pgap 13",26.4,28.37,1.07462
"pgap 13",24.05,38.74,1.61081
"pgap 13",22.71,29.71,1.30823
"pgap 13",26.33,37.76,1.43411
"pgap 13",25.71,37.45,1.45663
"pgap 13",26.42,32.71,1.23808
"pgap 13",30.43,38.56,1.26717
"pgap 13",17.77,27.52,1.54868
"pgap 13",27.4,30.17,1.10109
"pgap 13",21.6,32.92,1.52407
"pgap 13",25.05,24.77,0.988822
"pgap 13",29.8,24.26,0.814094
"pgap 13",23.67,29.07,1.22814
"pgap 13",24.16,32.26,1.33526
"pgap 13",27.12,29.35,1.08223
"pgap 13",28.42,34.63,1.21851
"pgap 13",23.17,31.46,1.35779
"pgap 22",27.61,38.47,1.39334
"pgap 22",31.57,39.93,1.26481
"pgap 22",35.01,30.9,0.882605
"pgap 22",29.23,40.35,1.38043
"pgap 22",23.23,30.74,1.32329
"pgap 22",23.41,29.3,1.2516
"pgap 22",26.3,40,1.52091
"pgap 22",27.11,32.03,1.18148
"pgap 22",28.78,35.01,1.21647
"pgap 22",25.5,23.57,0.924314
"pgap 22",34.96,31.99,0.915046
"pgap 22",23.41,26.98,1.1525
"pgap 22",23.24,23.98,1.03184
"pgap 22",23.3,27.1,1.16309
"pgap 22",21.34,29.9,1.40112
"pgap 22",26.52,30.62,1.1546
"pgap 22",21.62,29.89,1.38252
"pgap 22",25.12,27.18,1.08201
"pgap 22",21.26,23.26,1.09407
"pgap 22",21.69,21.69,1
"pgap 22",17.53,25.68,1.46492
"pgap 22",25.05,19.77,0.789222
"pgap 22",23.73,30.61,1.28993
"pgap 22",26.59,31.7,1.19218
"pgap 22",28.25,28.31,1.00212
"pgap 22",22.32,29.31,1.31317
"pgap 22",29.27,31.24,1.0673
"pgap 22",25.27,29.74,1.17689
"pgap 22",22.89,34.61,1.51201
"pgap 33",30.19,39.73,1.316
"pgap 33",35.2,42.73,1.21392
"pgap 33",25.4,36.39,1.43268
"pgap 33",23.15,40.12,1.73305
"pgap 33",30.23,41.65,1.37777
"pgap 33",26.51,35.5,1.33912
"pgap 33",27.74,35.89,1.2938
"pgap 33",26.1,36.23,1.38812
"pgap 33",27.8,33.27,1.19676
"pgap 33",23.2,33.8,1.4569
"pgap 33",22.8,35.4,1.55263
"pgap 33",22.09,30.11,1.36306
"pgap 33",22.9,32.89,1.43624
"pgap 33",20.34,30.12,1.48083
"pgap 33",22.7,32.45,1.42952
"pgap 33",25.15,30.78,1.22386
"pgap 33",31.05,37.41,1.20483
"pgap 33",21.78,26.42,1.21304
"pgap 33",26.55,31.92,1.20226
"pgap 33",18.83,25.01,1.3282
"pgap 33",28.31,31.74,1.12116
"pgap 33",23.9,25.65,1.07322
"pgap 33",22.15,25.86,1.16749
"pgap 33",26.41,36.04,1.36463
"pgap 33",27.73,39.28,1.41652
"pgap 33",18.8,28.89,1.5367
"pgap 33",31.47,36.49,1.15952
"pgap 33",25.03,32.81,1.31083
"pgap 35",28.35,43.19,1.52346
"pgap 35",27.62,37.59,1.36097
"pgap 35",28.79,41.06,1.42619
"pgap 35",27.02,35.45,1.31199
"pgap 35",25.08,29.31,1.16866
"pgap 35",27.98,40.9,1.46176
"pgap 35",27.01,38.75,1.43465
"pgap 35",25.42,36.8,1.44768
"pgap 35",28.35,26.51,0.935097
"pgap 35",26.07,32.91,1.26237
"pgap 35",25.3,31.25,1.23518
"pgap 35",24.28,31.92,1.31466
"pgap 35",30.43,41.39,1.36017
"pgap 35",23.83,37.62,1.57868
"pgap 35",26.06,34.35,1.31811
"pgap 35",25.24,35.11,1.39105
"pgap 35",28.14,24.79,0.880952
"pgap 35",28.45,31.08,1.09244
"pgap 35",30.06,28.36,0.943446
"pgap 35",32.36,20.11,0.621446
"pgap 35",31.11,32.5,1.04468
"pgap 35",26.5,28.67,1.08189
"pgap 35",25.95,35.71,1.37611
"pgap 35",25.57,37.42,1.46343
"pgap 35",30.91,35.68,1.15432
"pgap 35",26.64,24.14,0.906156
"pgap 35",26.74,37.17,1.39005
"pgap 35",30.61,24.52,0.801045
"pgap 35",31.93,35.41,1.10899
"pgap 35",31.29,43.14,1.37872
"pgap 35",25.95,29.9,1.15222
"pgap 36",27.27,35.5,1.3018
"pgap 36",28.19,41.55,1.47393
"pgap 36",33.25,38.86,1.16872
"pgap 36",39.35,35.24,0.895553
"pgap 36",23.11,30.02,1.299
"pgap 36",27.96,30.51,1.0912
