NAME,VALUE
"29bp 11",9
"29bp 11",7
"29bp 11",8
"29bp 11",5
"29bp 11",5
"29bp 11",5
"29bp 11",8
"29bp 11",9
"29bp 11",11
"29bp 11",12
"29bp 11",10
"29bp 11",6
"29bp 11",6
"29bp 11",7
"29bp 11",8
"29bp 11",10
"29bp 11",10
"29bp 11",10
"29bp 11",11
"29bp 11",12
"29bp 11",7
"29bp 11",5
"29bp 11",6
"29bp 11",7
"29bp 11",7
"29bp 13",9
"29bp 13",8
"29bp 13",8
"29bp 13",9
"29bp 13",9
"29bp 13",9
"29bp 13",9
"29bp 13",7
"29bp 13",8
"29bp 13",8
"29bp 13",8
"29bp 13",8
"29bp 13",6
"29bp 13",9
"29bp 13",7
"29bp 13",12
"29bp 13",10
"29bp 13",11
"29bp 13",10
"29bp 13",10
"29bp 13",10
"29bp 13",7
"29bp 13",7
"29bp 13",7
"29bp 13",14
"29bp 13",15
"29bp 14",11
"29bp 14",8
"29bp 14",8
"29bp 14",10
"29bp 14",8
"29bp 14",10
"29bp 14",8
"29bp 14",5
"29bp 14",7
"29bp 14",6
"29bp 14",10
"29bp 14",8
"29bp 14",8
"29bp 14",10
"29bp 15",8
"29bp 15",10
"29bp 15",7
"29bp 15",11
"29bp 15",9
"29bp 15",7
"29bp 15",9
"29bp 15",8
"29bp 15",7
"29bp 15",6
"29bp 15",7
"29bp 15",6
"29bp 15",5
"29bp 15",7
"29bp 15",6
"29bp 15",8
"29bp 15",10
"29bp 15",10
"29bp 15",7
"29bp 15",7
"29bp 15",10
"29bp 15",8
"29bp 16",9
"29bp 16",9
"29bp 16",7
"29bp 16",7
"29bp 16",6
"29bp 16",9
"29bp 16",9
"29bp 16",11
"29bp 16",9
"29bp 16",9
"29bp 16",5
"29bp 18",14
"29bp 18",9
"29bp 18",9
"29bp 18",10
"29bp 18",9
"29bp 18",10
"29bp 18",9
"29bp 18",14
"29bp 2",6
"29bp 2",6
"29bp 2",7
"29bp 2",6
"29bp 2",9
"29bp 2",11
"29bp 2",11
"29bp 2",7
"29bp 2",7
"29bp 2",7
"29bp 2",10
"29bp 2",10
"29bp 2",11
"29bp 2",13
"29bp 2",8
"29bp 2",9
"29bp 2",6
"29bp 2",8
"29bp 2",9
"29bp 2",9
"29bp 2",8
"29bp 2",9
"29bp 2",9
"29bp 2",9
"29bp 4",8
"29bp 4",7
"29bp 4",8
"29bp 5",11
"29bp 5",9
"29bp 5",10
"29bp 5",9
"29bp 5",9
"29bp 5",9
"29bp 5",10
"29bp 5",7
"29bp 5",8
"29bp 5",7
"29bp 5",10
"29bp 5",10
"29bp 5",11
"29bp 5",7
"29bp 5",7
"29bp 5",7
"29bp 5",8
"29bp 6",9
"29bp 6",9
"29bp 6",6
"29bp 6",11
"29bp 6",7
"29bp 6",10
"29bp 6",10
"29bp 9",9
"29bp 9",10
"29bp 9",11
"29bp 9",8
"29bp 9",8
"29bp 9",10
"29bp 9",13
"29bp 9",8
"29bp 9",9
"29bp 9",9
"29bp 9",11
"29bp 9",11
"29bp 9",10
"29bp 9",9
"29bp 9",10
"29bp 9",15
"29bp 9",8
"29bp 9",9
"29bp 9",9
"29bp 9",9
"29bp 9",10
"29bp 9",9
"29bp 9",9
"29bp 9",5
"29bp 9",9
