NAME,VALUE
"apae 1",8
"apae 1",5
"apae 1",8
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",7
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",7
"apae 1",5
"apae 1",5
"apae 1",5
"apae 1",6
"apae 1",6
"apae 1",8
"apae 1",6
"apae 1",5
"apae 1",6
"apae 1",5
"apae 1",8
"apae 1",9
"apae 1",7
"apae 1",6
"apae 1",7
"apae 1",7
"apae 1",8
"apae 1",7
"apae 1",7
"apae 1",6
"apae 1",5
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",5
"apae 1",6
"apae 1",5
"apae 1",8
"apae 1",6
"apae 1",8
"apae 1",8
"apae 1",5
"apae 1",8
"apae 1",7
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",6
"apae 1",10
"apae 1",6
"apae 1",9
"apae 1",6
"apae 1",8
"apae 1",6
"apae 1",7
"apae 1",7
"apae 1",6
"apae 1",7
"apae 1",6
"apae 1",6
"apae 1",7
"apae 1",10
"apae 1",5
"apae 1",7
"apae 1",5
"apae 1",6
"apae 1",8
"apae 1",8
"apae 1",9
"apae 1",7
"apae 1",6
"apae 1",6
"apae 1",7
"apae 1",9
"apae 1",9
"apae 1",9
"apae 1",7
"apae 1",8
"apae 1",8
"apae 1",9
"apae 1",9
"apae 1",7
"apae 1",8
"apae 1",9
"apae 1",8
"apae 1",10
"apae 1",8
"apae 1",8
"apae 1",7
"apae 1",8
"apae 1",7
"apae 1",7
"apae 1",9
"apae 1",9
"apae 1",7
"apae 1",8
"apae 1",9
"apae 1",7
"apae 13",9
"apae 13",7
"apae 13",8
"apae 13",8
"apae 13",7
"apae 13",7
"apae 13",7
"apae 13",8
"apae 13",14
"apae 13",7
"apae 13",8
"apae 13",8
"apae 13",8
"apae 13",7
"apae 13",8
"apae 13",6
"apae 13",8
"apae 13",7
"apae 13",6
"apae 13",6
"apae 13",7
"apae 13",6
"apae 13",7
"apae 13",5
"apae 13",6
"apae 13",7
"apae 13",6
"apae 13",6
"apae 13",7
"apae 13",7
"apae 13",7
"apae 13",7
"apae 13",6
"apae 13",7
"apae 13",9
"apae 13",6
"apae 13",8
"apae 13",6
"apae 13",7
"apae 13",5
"apae 13",6
"apae 13",9
"apae 13",7
"apae 13",8
"apae 13",9
"apae 13",11
"apae 13",9
"apae 13",8
"apae 13",8
"apae 13",10
"apae 13",10
"apae 13",10
"apae 13",6
"apae 13",9
"apae 13",9
"apae 13",8
"apae 13",10
"apae 13",7
"apae 13",8
"apae 13",11
"apae 13",7
"apae 13",7
"apae 13",7
"apae 13",6
"apae 13",8
"apae 13",6
"apae 13",8
"apae 13",10
"apae 13",10
"apae 13",10
"apae 13",12
"apae 13",7
"apae 13",9
"apae 13",8
"apae 13",11
"apae 13",10
"apae 13",10
"apae 13",8
"apae 13",9
"apae 13",10
"apae 13",8
"apae 13",9
"apae 13",9
"apae 13",9
"apae 13",9
"apae 13",10
"apae 13",9
"apae 13",8
"apae 13",8
"apae 13",7
"apae 13",6
"apae 3",6
"apae 3",5
"apae 3",6
"apae 3",6
"apae 3",7
"apae 3",7
"apae 3",7
"apae 3",9
"apae 3",5
"apae 3",6
"apae 3",5
"apae 3",8
"apae 3",5
"apae 3",7
"apae 3",6
"apae 3",9
"apae 3",8
"apae 3",6
"apae 3",8
"apae 3",6
"apae 3",6
"apae 3",6
"apae 3",6
"apae 3",7
"apae 3",5
"apae 3",6
"apae 3",6
"apae 3",5
"apae 3",8
"apae 3",5
"apae 3",6
"apae 3",6
"apae 3",6
"apae 3",5
"apae 3",5
"apae 3",7
"apae 3",8
"apae 3",8
"apae 3",7
"apae 3",7
"apae 3",7
"apae 3",7
"apae 3",7
"apae 3",7
"apae 3",12
"apae 3",9
"apae 3",8
"apae 3",9
"apae 3",8
"apae 3",9
"apae 3",13
"apae 3",9
"apae 3",9
"apae 3",8
"apae 3",6
"apae 3",7
"apae 3",8
"apae 3",8
"apae 3",8
"apae 3",10
"apae 3",8
"apae 3",12
"apae 3",11
"apae 3",11
"apae 3",10
"apae 3",10
"apae 3",9
"apae 3",10
"apae 3",9
"apae 3",9
"apae 3",8
"apae 3",8
"apae 3",7
"apae 3",7
"apae 3",10
"apae 3",8
"apae 3",8
"apae 3",8
"apae 3",9
"apae 3",8
