NAME,VALUE
"apel 14",8
"apel 14",7
"apel 14",6
"apel 14",6
"apel 14",7
"apel 14",6
"apel 14",7
"apel 14",6
"apel 14",9
"apel 14",8
"apel 14",6
"apel 14",8
"apel 14",8
"apel 14",9
"apel 14",10
"apel 21",7
"apel 21",6
"apel 21",6
"apel 21",6
"apel 21",7
"apel 21",8
"apel 21",4
"apel 21",6
"apel 21",6
"apel 21",8
"apel 21",6
"apel 21",11
"apel 21",12
"apel 21",7
"apel 21",10
"apel 21",10
"apel 21",7
"apel 21",10
"apel 21",12
"apel 21",11
"apel 21",11
"apel 21",8
"apel 21",12
"apel 21",8
"apel 21",6
"apel 21",9
"apel 21",12
"apel 21",9
"apel 23",11
"apel 23",9
"apel 23",9
"apel 23",10
"apel 23",7
"apel 23",8
"apel 23",9
"apel 23",7
"apel 23",8
"apel 23",8
"apel 23",9
"apel 23",8
"apel 23",7
"apel 39",7
"apel 39",7
"apel 39",6
"apel 39",7
"apel 39",7
"apel 39",7
"apel 39",9
"apel 39",7
"apel 39",7
"apel 39",8
"apel 39",8
"apel 39",10
"apel 39",8
"apel 39",10
"apel 39",9
"apel 39",9
"apel 39",9
"apel 39",9
"apel 39",10
"apel 39",8
"apel 39",11
"apel 39",10
"apel 39",7
"apel 39",7
"apel 39",10
