NAME,VALUE
"bgal 24",10
"bgal 24",8
"bgal 24",8
"bgal 24",8
"bgal 24",7
"bgal 24",6
"bgal 24",6
"bgal 24",5
"bgal 24",6
"bgal 24",6
"bgal 24",8
"bgal 24",6
"bgal 24",6
"bgal 24",6
"bgal 24",6
"bgal 24",6
"bgal 24",7
"bgal 24",6
"bgal 24",7
"bgal 24",8
"bgal 24",6
"bgal 24",6
"bgal 24",7
"bgal 24",5
"bgal 24",7
"bgal 24",9
"bgal 24",10
"bgal 24",11
"bgal 24",11
"bgal 24",6
"bgal 24",7
"bgal 24",8
"bgal 24",8
"bgal 24",8
"bgal 24",8
"bgal 24",8
"bgal 24",6
"bgal 24",7
"bgal 24",9
"bgal 24",6
"bgal 24",6
"bgal 24",7
"bgal 24",7
"bgal 24",5
"bgal 27",9
"bgal 27",9
"bgal 27",8
"bgal 27",7
"bgal 27",12
"bgal 27",8
"bgal 27",8
"bgal 27",7
"bgal 27",8
"bgal 27",10
"bgal 27",9
"bgal 27",8
"bgal 27",9
"bgal 27",8
"bgal 27",9
"bgal 27",7
"bgal 27",10
"bgal 27",8
"bgal 27",7
"bgal 27",6
"bgal 27",9
"bgal 27",7
"bgal 27",7
"bgal 27",9
"bgal 27",7
"bgal 27",9
"bgal 27",7
"bgal 27",7
"bgal 27",6
"bgal 27",7
"bgal 27",7
"bgal 27",7
"bgal 27",6
"bgal 27",10
"bgal 27",7
"bgal 27",8
"bgal 27",8
"bgal 27",7
"bgal 27",7
"bgal 27",6
"bgal 27",5
"bgal 27",5
"bgal 27",5
"bgal 27",6
"bgal 27",6
"bgal 27",5
"bgal 27",5
"bgal 27",6
"bgal 27",5
"bgal 27",8
"bgal 27",6
"bgal 27",6
"bgal 27",5
"bgal 27",7
"bgal 27",6
"bgal 27",6
"bgal 27",5
"bgal 27",5
"bgal 27",6
"bgal 27",5
"bgal 27",6
"bgal 27",5
"bgal 27",7
"bgal 27",11
"bgal 27",10
"bgal 27",7
"bgal 27",7
"bgal 27",6
"bgal 27",8
"bgal 27",6
"bgal 27",7
"bgal 27",6
"bgal 27",7
"bgal 27",7
"bgal 27",5
"bgal 27",5
"bgal 27",7
"bgal 27",8
"bgal 27",7
"bgal 27",6
"bgal 27",6
"bgal 27",8
"bgal 27",6
"bgal 27",6
"bgal 27",8
"bgal 27",6
"bgal 27",6
"bgal 27",5
"bgal 27",7
"bgal 27",8
"bgal 27",7
"bgal 27",6
"bgal 27",5
"bgal 28",8
"bgal 28",10
"bgal 28",10
"bgal 28",8
"bgal 28",8
"bgal 28",7
"bgal 28",6
"bgal 28",7
"bgal 28",6
"bgal 28",8
"bgal 28",7
"bgal 28",7
"bgal 28",7
"bgal 28",6
"bgal 28",6
"bgal 28",7
"bgal 28",7
"bgal 28",7
"bgal 28",7
"bgal 28",7
"bgal 28",7
"bgal 28",7
"bgal 28",8
"bgal 28",8
"bgal 28",9
"bgal 28",8
"bgal 28",12
"bgal 28",11
"bgal 28",10
"bgal 28",7
"bgal 28",10
"bgal 28",9
"bgal 28",7
"bgal 28",8
"bgal 28",8
"bgal 28",7
"bgal 28",7
"bgal 28",8
"bgal 28",8
"bgal 28",8
"bgal 28",9
"bgal 28",9
"bgal 28",10
"bgal 28",10
"bgal 28",7
"bgal 28",8
"bgal 28",10
"bgal 28",11
"bgal 28",9
"bgal 28",10
"bgal 28",7
"bgal 37",8
"bgal 37",10
"bgal 37",9
"bgal 37",7
"bgal 37",8
"bgal 37",9
"bgal 37",8
"bgal 37",8
"bgal 37",7
"bgal 37",7
"bgal 37",10
"bgal 37",9
"bgal 37",11
"bgal 37",11
"bgal 37",10
"bgal 37",6
"bgal 37",9
"bgal 37",9
"bgal 37",11
"bgal 37",10
"bgal 37",8
"bgal 37",10
"bgal 37",11
"bgal 37",11
"bgal 37",10
"bgal 37",10
"bgal 37",10
"bgal 37",8
"bgal 37",8
"bgal 37",9
"bgal 37",9
"bgal 37",7
"bgal 37",8
"bgal 37",13
"bgal 37",14
"bgal 37",9
"bgal 37",10
"bgal 37",10
"bgal 37",11
"bgal 37",8
"bgal 37",9
"bgal 37",11
"bgal 37",9
"bgal 37",12
"bgal 37",8
"bgal 37",9
"bgal 37",10
"bgal 37",9
"bgal 37",8
"bgal 37",7
"bgal 37",7
"bgal 37",9
"bgal 37",9
"bgal 37",7
"bgal 37",9
"bgal 37",6
"bgal 37",6
"bgal 37",6
"bgal 37",7
"bgal 37",8
"bgal A15",8
"bgal A15",8
"bgal A15",8
"bgal A15",8
"bgal A15",9
"bgal A15",7
"bgal A15",7
"bgal A15",8
"bgal A15",8
"bgal A15",10
"bgal A15",10
"bgal A15",12
"bgal A15",13
"bgal A15",10
"bgal A15",10
"bgal A15",11
"bgal A15",9
"bgal A15",8
"bgal A15",7
"bgal A15",7
"bgal A15",7
"bgal A15",8
"bgal A18",8
"bgal A18",11
"bgal A18",7
"bgal A18",6
"bgal A18",8
"bgal A18",10
"bgal A18",10
"bgal A18",9
"bgal A18",10
"bgal A18",8
"bgal A18",10
"bgal A18",7
"bgal A18",7
"bgal A18",9
"bgal A18",8
"bgal A18",10
"bgal A18",8
"bgal A18",12
"bgal A18",7
"bgal A18",8
"bgal A18",9
"bgal A18",7
"bgal A18",10
"bgal A18",9
"bgal A18",7
"bgal A18",11
"bgal A18",11
"bgal A18",12
"bgal A18",11
"bgal A18",11
"bgal A18",9
"bgal A19",8
"bgal A19",10
"bgal A19",6
"bgal A19",9
"bgal A19",8
"bgal A19",9
"bgal A19",9
"bgal A19",9
"bgal A19",10
"bgal A19",10
"bgal A19",14
"bgal A19",8
"bgal A19",10
"bgal A19",6
"bgal A19",6
"bgal A19",9
"bgal A19",7
"bgal A19",9
"bgal A19",9
"bgal A19",10
"bgal A19",11
"bgal A19",11
"bgal A21",6
"bgal A21",7
"bgal A21",7
"bgal A21",12
"bgal A21",7
"bgal A21",6
"bgal A21",6
"bgal A21",7
"bgal A21",10
"bgal A21",13
"bgal A21",13
"bgal A21",9
"bgal A21",9
"bgal A21",10
"bgal A21",10
"bgal A21",9
"bgal A21",11
"bgal A21",9
"bgal A21",8
"bgal A24",5
"bgal A24",7
"bgal A24",7
"bgal A24",6
"bgal A24",15
"bgal A24",8
"bgal A24",12
"bgal A24",11
"bgal A24",9
"bgal A24",12
"bgal A24",12
"bgal A24",11
"bgal A24",10
"bgal A25",14
"bgal A25",10
"bgal A25",10
