NAME,VALUE
"bgali 22",5
"bgali 22",5
"bgali 22",6
"bgali 22",5
"bgali 22",6
"bgali 22",10
"bgali 22",10
"bgali 22",12
"bgali 22",10
"bgali 22",11
"bgali 22",7
"bgali 22",10
"bgali 22",10
"bgali 22",9
"bgali 22",13
"bgali 22",12
"bgali 22",11
"bgali 22",12
"bgali 22",11
"bgali 22",11
"bgali 12",6
"bgali 12",6
"bgali 12",8
"bgali 12",6
"bgali 12",6
"bgali 12",6
"bgali 12",8
"bgali 12",8
"bgali 12",9
"bgali 12",8
"bgali 12",9
"bgali 12",7
"bgali 12",10
"bgali 12",9
"bgali 12",14
"bgali 12",10
"bgali 12",11
"bgali 12",10
"bgali 13",7
"bgali 13",7
"bgali 13",6
"bgali 13",7
"bgali 13",7
"bgali 13",8
"bgali 13",9
"bgali 13",8
"bgali 13",8
"bgali 13",13
"bgali 13",9
"bgali 13",10
"bgali 13",9
"bgali 13",7
"bgali 13",7
"bgali 13",10
"bgali 13",10
"bgali 13",10
"bgali 13",11
"bgali 13",8
"bgali 13",11
"bgali 13",11
"bgali 13",10
"bgali 13",10
"bgali 13",10
"bgali 13",8
"bgali 13",10
"bgali 13",12
"bgali 13",12
"bgali 13",9
"bgali 13",13
"bgali 13",6
"bgali 13",8
"bgali 13",8
"bgali 13",7
"bgali 13",9
"bgali 13",11
"bgali 13",11
"bgali 13",7
"bgali 2",7
"bgali 2",6
"bgali 2",6
"bgali 2",12
"bgali 2",10
"bgali 2",15
"bgali 2",13
"bgali 2",12
"bgali 2",8
"bgali 2",14
"bgali 2",10
"bgali 2",9
