NAME,VALUE
"bp 1",7
"bp 1",8
"bp 1",9
"bp 1",12
"bp 1",12
"bp 1",7
"bp 1",8
"bp 1",7
"bp 1",7
"bp 1",7
"bp 1",9
"bp 1",9
"bp 1",8
"bp 10",7
"bp 10",7
"bp 10",7
"bp 10",7
"bp 10",5
"bp 10",6
"bp 10",8
"bp 10",7
"bp 10",9
"bp 10",6
"bp 10",9
"bp 10",8
"bp 10",8
"bp 10",7
"bp 10",7
"bp 10",9
"bp 10",12
"bp 10",13
"bp 10",10
"bp 10",15
"bp 10",8
"bp 10",7
"bp 10",7
"bp 10",7
"bp 10",5
"bp 10",8
"bp 10",10
"bp 10",9
"bp 10",10
"bp 10",12
"bp 10",8
"bp 13",11
"bp 13",10
"bp 13",8
"bp 13",7
"bp 13",7
"bp 13",7
"bp 13",11
"bp 14",9
"bp 14",11
"bp 14",14
"bp 14",9
"bp 14",7
"bp 14",7
"bp 14",10
"bp 14",10
"bp 14",8
"bp 14",10
"bp 14",9
"bp 14",6
"bp 14",7
"bp 14",11
"bp 14",10
"bp 14",10
"bp 14",11
"bp 16",13
"bp 16",10
"bp 16",12
"bp 16",10
"bp 16",9
"bp 16",7
"bp 16",7
"bp 16",11
"bp 16",8
"bp 16",10
"bp 16",6
"bp 16",7
"bp 16",8
"bp 16",8
"bp 19",8
"bp 19",6
"bp 19",7
"bp 19",7
"bp 19",7
"bp 19",9
"bp 2",7
"bp 2",7
"bp 2",7
"bp 2",7
"bp 2",8
"bp 2",8
"bp 2",7
"bp 2",9
"bp 2",7
"bp 2",9
"bp 2",12
"bp 2",10
"bp 2",12
"bp 2",11
"bp 2",6
"bp 3",9
"bp 3",8
"bp 3",10
"bp 3",8
"bp 3",8
"bp 3",6
"bp 3",8
"bp 3",8
"bp 3",7
"bp 3",10
"bp 4",7
"bp 4",11
"bp 4",10
"bp 4",8
"bp 4",8
"bp 4",11
"bp 4",6
"bp 4",8
"bp 4",5
"bp 4",8
"bp 5",6
"bp 5",6
"bp 5",6
"bp 5",5
"bp 5",9
"bp 5",8
"bp 5",7
"bp 5",9
"bp 5",8
"bp 5",10
"bp 5",10
"bp 5",7
"bp 5",7
"bp 5",5
"bp 5",6
"bp 5",9
"bp 5",7
"bp 5",11
"bp 5",9
"bp 5",8
"bp 7",9
"bp 7",9
"bp 7",8
"bp 7",9
"bp 7",8
"bp 7",7
"bp 7",6
"bp 7",7
"bp 8",9
"bp 8",6
"bp 8",7
"bp 8",14
"bp 8",9
"bp 8",8
"bp 8",9
"bp 8",11
"bp 8",9
"bp 8",10
"bp 8",8
"bp 8",9
"bp 8",8
"bp 9",10
"bp 9",10
"bp 9",10
"bp 9",9
"bp 9",7
"bp 9",9
"bp 9",15
"bp 9",8
"bp 9",9
"bp 9",14
