NAME,VALUE
"pg 29",6
"pg 29",6
"pg 29",6
"pg 29",6
"pg 29",6
"pg 29",6
"pg 29",8
"pg 29",8
"pg 29",8
"pg 29",7
"pg 29",7
"pg 29",6
"pg 29",7
"pg 29",6
"pg 29",6
"pg 29",6
"pg 29",6
"pg 29",7
"pg 29",7
"pg 29",6
"pg 29",7
"pg 29",6
"pg 29",5
"pg 29",6
"pg 29",6
"pg 29",5
"pg 29",5
"pg 29",5
"pg 29",7
"pg 29",6
"pg 29",7
"pg 29",6
"pg 29",9
"pg 29",8
"pg 29",8
"pg 29",9
"pg 29",8
"pg 29",8
"pg 29",7
"pg 29",8
"pg 29",8
"pg 29",7
"pg 29",8
"pg 29",8
"pg 29",7
"pg 29",6
"pg 29",6
"pg 29",9
"pg 29",9
"pg 29",9
"pg 29",7
"pg 29",8
"pg 29",10
"pg 29",6
"pg 29",10
"pg 29",12
"pg 29",6
"pg 29",8
"pg 29",8
"pg 29",8
"pg 29",7
"pg 29",9
"pg 29",8
"pg 29",6
"pg 29",8
"pg 29",6
"pg 29",8
"pg 29",7
"pg 29",8
"pg 29",6
"pg 29",9
"pg 29",9
"pg 29",10
"pg 29",12
"pg 29",9
"pg 29",10
"pg 29",9
"pg 29",7
"pg 29",8
"pg 29",8
"pg 29",7
"pg 29",10
"pg 29",12
"pg 29",9
"pg 29",9
"pg 29",8
"pg 29",9
"pg 29",8
"pg 29",7
"pg 29",8
"pg 29",9
"pg 29",9
"pg 62",8
"pg 62",7
"pg 62",6
"pg 62",8
"pg 62",8
"pg 62",10
"pg 62",7
"pg 62",6
"pg 62",7
"pg 62",7
"pg 62",6
"pg 62",9
"pg 62",7
"pg 62",5
"pg 62",6
"pg 62",7
"pg 62",8
"pg 62",7
"pg 62",6
"pg 62",6
"pg 62",7
"pg 62",6
"pg 62",7
"pg 62",8
"pg 62",8
"pg 62",8
"pg 62",7
"pg 62",8
"pg 62",6
"pg 62",6
"pg 62",8
"pg 62",7
"pg 62",6
"pg 62",8
"pg 62",6
"pg 62",8
"pg 62",6
"pg 62",8
"pg 62",8
"pg 62",7
"pg 62",8
"pg 62",7
"pg 62",7
"pg 62",8
"pg 62",7
"pg 62",8
"pg 62",9
"pg 62",7
"pg 62",10
"pg 62",8
"pg 62",8
"pg 62",6
"pg 62",6
"pg 62",5
"pg 62",7
"pg 62",10
"pg 62",10
"pg 62",9
"pg 62",8
"pg 62",9
"pg 62",8
"pg 62",10
"pg 62",9
"pg 62",9
"pg 62",9
"pg 62",8
"pg 62",9
"pg 62",9
"pg 62",13
"pg 62",8
"pg 62",9
