NAME,VALUE
"pgap 13",8
"pgap 13",5
"pgap 13",7
"pgap 13",8
"pgap 13",7
"pgap 13",6
"pgap 13",7
"pgap 13",7
"pgap 13",8
"pgap 13",7
"pgap 13",8
"pgap 13",6
"pgap 13",8
"pgap 13",10
"pgap 13",8
"pgap 13",8
"pgap 13",8
"pgap 13",8
"pgap 13",9
"pgap 13",10
"pgap 13",10
"pgap 22",7
"pgap 22",7
"pgap 22",7
"pgap 22",7
"pgap 22",6
"pgap 22",6
"pgap 22",8
"pgap 22",7
"pgap 22",7
"pgap 22",8
"pgap 22",7
"pgap 22",7
"pgap 22",6
"pgap 22",6
"pgap 22",7
"pgap 22",7
"pgap 22",7
"pgap 22",6
"pgap 22",8
"pgap 22",6
"pgap 22",6
"pgap 22",10
"pgap 22",12
"pgap 22",12
"pgap 22",9
"pgap 22",7
"pgap 22",9
"pgap 22",10
"pgap 22",10
"pgap 33",6
"pgap 33",5
"pgap 33",6
"pgap 33",5
"pgap 33",6
"pgap 33",7
"pgap 33",6
"pgap 33",6
"pgap 33",5
"pgap 33",6
"pgap 33",5
"pgap 33",5
"pgap 33",6
"pgap 33",7
"pgap 33",9
"pgap 33",9
"pgap 33",9
"pgap 33",8
"pgap 33",8
"pgap 33",10
"pgap 33",9
"pgap 33",9
"pgap 33",8
"pgap 33",8
"pgap 33",8
"pgap 33",11
"pgap 33",9
"pgap 33",9
"pgap 35",6
"pgap 35",5
"pgap 35",6
"pgap 35",5
"pgap 35",6
"pgap 35",6
"pgap 35",7
"pgap 35",8
"pgap 35",5
"pgap 35",8
"pgap 35",9
"pgap 35",6
"pgap 35",8
"pgap 35",8
"pgap 35",8
"pgap 35",8
"pgap 35",8
"pgap 35",5
"pgap 35",7
"pgap 35",10
"pgap 35",5
"pgap 35",6
"pgap 35",9
"pgap 35",8
"pgap 35",9
"pgap 35",9
"pgap 35",9
"pgap 35",9
"pgap 35",8
"pgap 35",9
"pgap 35",8
"pgap 36",5
"pgap 36",6
"pgap 36",6
"pgap 36",6
"pgap 36",7
"pgap 36",7
"pgap 36",5
"pgap 36",6
"pgap 36",5
"pgap 36",7
"pgap 36",7
"pgap 36",6
"pgap 36",6
"pgap 36",9
"pgap 36",8
"pgap 36",7
"pgap 36",6
"pgap 36",8
"pgap 36",8
"pgap 36",9
"pgap 36",8
"pgap 36",8
"pgap 36",9
"pgap 36",9
"pgap 36",9
"pgap 36",10
"pgap 36",8
"pgap 36",8
"pgap 36",8
"pgap 36",9
"pgap 36",9
"pgap 36",11
"pgap 36",8
"pgap 36",8
"pgap 36",8
"pgap 36",8
"pgap 36",7
"pgap 36",7
"pgap 36",8
"pgap 36",8
"pgap 36",8
"pgap 39",7
"pgap 39",7
"pgap 39",6
"pgap 39",6
"pgap 39",5
"pgap 39",6
"pgap 39",6
"pgap 39",5
"pgap 39",6
"pgap 39",6
"pgap 39",7
"pgap 39",8
"pgap 39",6
"pgap 39",7
"pgap 39",8
"pgap 39",8
"pgap 39",9
"pgap 39",7
"pgap 39",8
"pgap 39",9
"pgap 39",6
"pgap 39",8
"pgap 39",9
"pgap 39",8
"pgap 39",6
"pgap 39",6
"pgap 39",7
"pgap 39",6
"pgap 39",6
"pgap 39",8
"pgap 39",7
"pgap 39",6
"pgap 39",8
"pgap 39",7
"pgap 39",9
"pgap 39",8
"pgap 39",9
"pgap 39",7
"pgap 39",8
"pgap 39",8
"pgap 39",8
"pgap 4",7
"pgap 4",7
"pgap 4",6
"pgap 4",5
"pgap 4",5
"pgap 4",6
"pgap 4",5
"pgap 4",6
"pgap 4",7
"pgap 4",6
"pgap 4",5
"pgap 4",5
"pgap 4",6
"pgap 4",5
"pgap 4",5
"pgap 4",6
"pgap 4",5
"pgap 4",5
"pgap 4",6
"pgap 4",6
"pgap 4",5
"pgap 4",5
"pgap 4",6
"pgap 4",6
"pgap 4",6
"pgap 4",5
"pgap 4",6
"pgap 4",5
"pgap 4",7
"pgap 4",8
"pgap 4",7
"pgap 4",7
"pgap 4",7
"pgap 4",7
"pgap 4",8
"pgap 4",5
"pgap 4",6
"pgap 4",6
"pgap 4",6
"pgap 4",6
"pgap 4",8
"pgap 4",6
"pgap 4",5
"pgap 4",8
"pgap 4",6
"pgap 4",5
"pgap 4",7
"pgap 4",5
"pgap 4",9
"pgap 4",6
"pgap 4",5
"pgap 4",5
"pgap 4",8
"pgap 4",6
"pgap 4",6
"pgap 4",6
"pgap 4",7
"pgap 4",6
"pgap 4",6
"pgap 4",5
"pgap 4",9
"pgap 4",5
"pgap 4",6
"pgap 4",7
"pgap 4",8
"pgap 4",6
"pgap 4",6
"pgap 4",9
"pgap 4",9
"pgap 4",8
"pgap 4",6
"pgap 4",10
"pgap 4",7
"pgap 4",8
"pgap 4",6
"pgap 4",9
"pgap 4",8
"pgap 4",8
"pgap 4",9
"pgap 4",8
"pgap 4",8
"pgap 4",8
"pgap 4",8
"pgap 4",8
"pgap 4",9
"pgap 4",11
"pgap 4",7
"pgap 4",10
"pgap 48",8
"pgap 48",5
"pgap 48",8
"pgap 48",8
"pgap 48",7
"pgap 48",6
"pgap 48",7
"pgap 48",7
"pgap 48",8
"pgap 48",8
"pgap 48",8
"pgap 48",8
"pgap 48",9
"pgap 48",8
"pgap 48",9
"pgap 48",8
"pgap 48",9
"pgap 48",7
"pgap 48",10
"pgap 48",11
"pgap 48",9
"pgap 48",9
"pgap 48",11
"pgap 48",9
"pgap 48",9
"pgap 48",8
"pgap 48",10
"pgap 48",9
"pgap 48",9
"pgap 48",12
"pgap 58",6
"pgap 58",5
"pgap 58",5
"pgap 58",9
"pgap 58",7
"pgap 58",5
"pgap 58",7
"pgap 58",6
"pgap 58",7
"pgap 58",7
"pgap 58",7
"pgap 58",8
"pgap 58",7
"pgap 58",6
"pgap 58",7
"pgap 58",10
"pgap 58",7
"pgap 58",6
"pgap 58",6
"pgap 58",7
"pgap 58",7
"pgap 58",11
"pgap 58",8
"pgap 58",9
"pgap 58",10
"pgap 58",9
"pgap 58",8
"pgap 58",7
"pgap 58",9
"pgap 58",7
"pgap 58",7
