NAME,VALUE
"29bp 11",18.2
"29bp 11",11.8
"29bp 11",10.2
"29bp 11",10.2
"29bp 11",10.8
"29bp 11",10.2
"29bp 11",10.8
"29bp 11",10.2
"29bp 11",11.8
"29bp 11",7
"29bp 11",16.4
"29bp 11",8.4
"29bp 11",11
"29bp 11",10.4
"29bp 11",7.6
"29bp 11",7
"29bp 11",7.6
"29bp 11",10.8
"29bp 11",8
"29bp 11",8.8
"29bp 11",11.2
"29bp 11",9
"29bp 11",10.8
"29bp 11",10.6
"29bp 11",9.4
"29bp 13",14.2
"29bp 13",13.4
"29bp 13",9.2
"29bp 13",9.8
"29bp 13",18.2
"29bp 13",18.2
"29bp 13",15.6
"29bp 13",10
"29bp 13",13.4
"29bp 13",11
"29bp 13",7.4
"29bp 13",8.6
"29bp 13",7.2
"29bp 13",7.2
"29bp 13",6.2
"29bp 13",13
"29bp 13",15.4
"29bp 13",10.6
"29bp 13",9
"29bp 13",8
"29bp 13",10.6
"29bp 13",6
"29bp 13",8.8
"29bp 13",7
"29bp 13",6
"29bp 13",6
"29bp 14",6.2
"29bp 14",8.4
"29bp 14",10
"29bp 14",10.6
"29bp 14",7.6
"29bp 14",8.4
"29bp 14",11.2
"29bp 14",14
"29bp 14",9.4
"29bp 14",9.4
"29bp 14",9.4
"29bp 14",13.6
"29bp 14",8.2
"29bp 14",8.8
"29bp 15",15.4
"29bp 15",14.6
"29bp 15",15.6
"29bp 15",9.2
"29bp 15",6.2
"29bp 15",13
"29bp 15",11.8
"29bp 15",16.4
"29bp 15",5.4
"29bp 15",9
"29bp 15",19.4
"29bp 15",19
"29bp 15",13.2
"29bp 15",10.6
"29bp 15",10.6
"29bp 15",8.2
"29bp 15",10.8
"29bp 15",7
"29bp 15",11.6
"29bp 15",13.4
"29bp 15",15.4
"29bp 15",14.6
"29bp 16",14.4
"29bp 16",10
"29bp 16",13.2
"29bp 16",9.4
"29bp 16",8.8
"29bp 16",6.2
"29bp 16",7.8
"29bp 16",10.8
"29bp 16",17
"29bp 16",10.8
"29bp 16",17
"29bp 18",7.2
"29bp 18",7
"29bp 18",5.6
"29bp 18",10.8
"29bp 18",13.2
"29bp 18",11.4
"29bp 18",8
"29bp 18",8.4
"29bp 2",6
"29bp 2",5
"29bp 2",6.8
"29bp 2",6.8
"29bp 2",7
"29bp 2",9.6
"29bp 2",7.6
"29bp 2",7.6
"29bp 2",9
"29bp 2",5.4
"29bp 2",4.6
"29bp 2",7.8
"29bp 2",10.6
"29bp 2",13.6
"29bp 2",6
"29bp 2",7.6
"29bp 2",7.8
"29bp 2",7
"29bp 2",7.2
"29bp 2",8.4
"29bp 2",9
"29bp 2",7.2
"29bp 2",5.6
"29bp 2",6.6
"29bp 4",10
"29bp 4",11.2
"29bp 4",10.6
"29bp 5",5.6
"29bp 5",5
"29bp 5",4.6
"29bp 5",9.4
"29bp 5",10
"29bp 5",6
"29bp 5",10.4
"29bp 5",8.4
"29bp 5",7
"29bp 5",7.4
"29bp 5",5
"29bp 5",4
"29bp 5",10
"29bp 5",9.4
"29bp 5",6.6
"29bp 5",6
"29bp 5",8
"29bp 6",7.8
"29bp 6",16.2
"29bp 6",6.8
"29bp 6",8.4
"29bp 6",10.4
"29bp 6",6.2
"29bp 6",6.2
"29bp 9",7
"29bp 9",9
"29bp 9",10.6
"29bp 9",8.2
"29bp 9",7
"29bp 9",10.6
"29bp 9",15
"29bp 9",16.6
"29bp 9",7.4
"29bp 9",5.4
"29bp 9",10
"29bp 9",13.6
"29bp 9",13
"29bp 9",9
"29bp 9",10.2
"29bp 9",8.4
"29bp 9",12.8
"29bp 9",12.4
"29bp 9",12.6
"29bp 9",10
"29bp 9",10.8
"29bp 9",9.6
"29bp 9",12
"29bp 9",9.6
"29bp 9",10.6
