NAME,VALUE
"apae 1",15
"apae 1",22.8
"apae 1",15.4
"apae 1",26.2
"apae 1",18.4
"apae 1",20.8
"apae 1",13.4
"apae 1",14.2
"apae 1",13.6
"apae 1",9
"apae 1",8.8
"apae 1",8.8
"apae 1",8.6
"apae 1",12.4
"apae 1",9.8
"apae 1",10.8
"apae 1",10
"apae 1",15.4
"apae 1",21.8
"apae 1",7.2
"apae 1",7.6
"apae 1",10
"apae 1",7.6
"apae 1",9
"apae 1",7.2
"apae 1",7.6
"apae 1",6.6
"apae 1",8.4
"apae 1",7
"apae 1",8.2
"apae 1",17.2
"apae 1",12.2
"apae 1",9.6
"apae 1",19.2
"apae 1",10.2
"apae 1",11
"apae 1",12.2
"apae 1",10.6
"apae 1",11.4
"apae 1",13.6
"apae 1",11.2
"apae 1",18
"apae 1",17.6
"apae 1",7.2
"apae 1",7
"apae 1",9.6
"apae 1",12.6
"apae 1",11
"apae 1",10.2
"apae 1",10.8
"apae 1",14.2
"apae 1",10
"apae 1",9.4
"apae 1",9
"apae 1",7.2
"apae 1",10.2
"apae 1",11.8
"apae 1",8.2
"apae 1",9.6
"apae 1",9.2
"apae 1",6
"apae 1",12.6
"apae 1",8.8
"apae 1",13.6
"apae 1",11
"apae 1",6.8
"apae 1",11.4
"apae 1",11.2
"apae 1",14.6
"apae 1",11.8
"apae 1",13
"apae 1",9.2
"apae 1",9.4
"apae 1",12
"apae 1",14.4
"apae 1",11.8
"apae 1",19.4
"apae 1",14.6
"apae 1",12.6
"apae 1",12.8
"apae 1",10.2
"apae 1",17.6
"apae 1",10
"apae 1",12
"apae 1",14.2
"apae 1",12
"apae 1",8
"apae 1",6
"apae 1",5.6
"apae 1",12.2
"apae 1",8
"apae 1",13
"apae 1",6.4
"apae 1",7.6
"apae 1",6.4
"apae 1",12.6
"apae 1",9.2
"apae 1",14
"apae 1",7.6
"apae 1",7.8
"apae 1",6.2
"apae 1",9.6
"apae 1",14.8
"apae 1",16
"apae 1",8
"apae 1",10.2
"apae 13",10.4
"apae 13",10.6
"apae 13",9.6
"apae 13",16.2
"apae 13",9.2
"apae 13",26
"apae 13",23.4
"apae 13",8.8
"apae 13",8.2
"apae 13",12.4
"apae 13",8.8
"apae 13",10
"apae 13",7.8
"apae 13",7.2
"apae 13",9
"apae 13",7.8
"apae 13",14.6
"apae 13",7
"apae 13",5.6
"apae 13",5.8
"apae 13",8.4
"apae 13",10.2
"apae 13",7.2
"apae 13",6.8
"apae 13",11.4
"apae 13",9.6
"apae 13",8
"apae 13",7.2
"apae 13",9.8
"apae 13",9.8
"apae 13",8.4
"apae 13",6.8
"apae 13",12.4
"apae 13",15.2
"apae 13",10.4
"apae 13",13.6
"apae 13",9.4
"apae 13",8.4
"apae 13",6.6
"apae 13",5.4
"apae 13",11.6
"apae 13",7
"apae 13",12.8
"apae 13",6.6
"apae 13",7.8
"apae 13",8.2
"apae 13",11.8
"apae 13",6.2
"apae 13",8.2
"apae 13",13.2
"apae 13",8.6
"apae 13",7.2
"apae 13",5.6
"apae 13",11.6
"apae 13",6.4
"apae 13",8.4
"apae 13",12.2
"apae 13",8
"apae 13",5.2
"apae 13",4.8
"apae 13",10
"apae 13",12.6
"apae 13",9
"apae 13",8
"apae 13",8
"apae 13",8.8
"apae 13",10.4
"apae 13",11.8
"apae 13",9.6
"apae 13",7.6
"apae 13",8.6
"apae 13",7.4
"apae 13",8.6
"apae 13",11
"apae 13",11.4
"apae 13",7.6
"apae 13",8.4
"apae 13",12.4
"apae 13",10.2
"apae 13",7.4
"apae 13",7
"apae 13",9.2
"apae 13",7
"apae 13",6
"apae 13",7.4
"apae 13",6.2
"apae 13",15.2
"apae 13",15.4
"apae 13",13.2
"apae 13",13.8
"apae 13",9.4
"apae 3",10.14
"apae 3",4.6
"apae 3",4.8
"apae 3",6.6
"apae 3",14.2
"apae 3",11.8
"apae 3",8.6
"apae 3",10
"apae 3",11
"apae 3",10.2
"apae 3",8.2
"apae 3",12
"apae 3",8.8
"apae 3",9
"apae 3",12.8
"apae 3",9.4
"apae 3",11.6
"apae 3",13.4
"apae 3",13
"apae 3",9.6
"apae 3",12
"apae 3",8
"apae 3",7.8
"apae 3",8
"apae 3",7.8
"apae 3",10.2
"apae 3",8.2
"apae 3",7.2
"apae 3",7.6
"apae 3",8.2
"apae 3",7.2
"apae 3",10.8
"apae 3",11
"apae 3",9.8
"apae 3",10.8
"apae 3",6.8
"apae 3",7.8
"apae 3",6.4
"apae 3",6.2
"apae 3",10.8
"apae 3",8.8
"apae 3",7.2
"apae 3",7.4
"apae 3",6.8
"apae 3",18
"apae 3",8.6
"apae 3",11.4
"apae 3",11
"apae 3",6.6
"apae 3",6.2
"apae 3",6.6
"apae 3",5.8
"apae 3",5.8
"apae 3",6.8
"apae 3",25
"apae 3",16.4
"apae 3",13.4
"apae 3",8.2
"apae 3",8.8
"apae 3",16.2
"apae 3",15.4
"apae 3",8.8
"apae 3",6
"apae 3",5.8
"apae 3",6.4
"apae 3",6
"apae 3",6.2
"apae 3",5.6
"apae 3",4.8
"apae 3",9.2
"apae 3",6.2
"apae 3",6.8
"apae 3",7.2
"apae 3",10.4
"apae 3",9.4
"apae 3",10.2
"apae 3",11.2
"apae 3",8.4
"apae 3",11.2
"apae 3",20.4
"apae 3",16.2
"apae 3",11
"apae 3",21.4
"apae 3",13.6
"apae 4",18
"apae 4",15.4
"apae 4",13.6
"apae 4",22.6
"apae 4",21
"apae 4",14.6
"apae 4",13.6
"apae 4",21.8
"apae 4",23.6
"apae 4",22
"apae 4",11.8
"apae 4",24
"apae 4",15.4
"apae 4",16.2
"apae 4",17.8
"apae 4",23
"apae 4",11.8
"apae 4",15.2
"apae 4",6.8
"apae 4",7.2
"apae 4",8
"apae 4",6.8
"apae 4",13.2
"apae 4",13.4
"apae 4",5.8
"apae 4",10.8
"apae 4",7.8
"apae 4",12.2
"apae 4",7
"apae 4",24.4
"apae 4",9.4
"apae 4",8
"apae 4",9.6
"apae 4",6.4
"apae 4",8.2
"apae 4",9.4
"apae 4",14.2
"apae 4",11.2
"apae 4",8.2
"apae 4",8.8
"apae 4",10.4
"apae 4",5.8
"apae 4",4.2
"apae 4",7.4
"apae 4",8.2
"apae 4",6.6
"apae 4",11.8
"apae 4",13
"apae 4",8.4
"apae 4",9.4
"apae 4",6
"apae 4",7.6
"apae 4",7.6
"apae 4",6.6
"apae 4",9
"apae 4",9
"apae 4",10.2
"apae 4",10.6
"apae 4",7.2
"apae 4",6
"apae 4",6.2
"apae 4",7.2
"apae 4",6.6
"apae 4",7.2
"apae 4",5
"apae 4",6
"apae 4",8.2
"apae 4",7.6
"apae 4",9.6
"apae 4",5.4
"apae 4",6.6
"apae 4",11
"apae 4",13.8
"apae 4",9
"apae 4",12
"apae 4",8.2
"apae 4",10.2
"apae 4",6.6
"apae 4",9.6
"apae 4",9.8
"apae 4",9
"apae 4",15
"apae 4",5.8
"apae 4",5.6
"apae 4",12.6
"apae 4",9.8
"apae 4",13.8
"apae 4",4.8
"apae 4",11
"apae 4",7.8
"apae 4",11.6
"apae 4",12.6
"apae 4",11.4
"apae 4",16.4
"apae 4",13
"apae 4",11.8
"apae 4",8.4
"apae 4",3.6
"apae 4",4.8
"apae 4",15
"apae 4",16.6
"apae 4",8.2
"apae 4",9.6
"apae 4",10.4
"apae 6",5.2
"apae 6",5.2
"apae 6",9.4
"apae 6",5.6
"apae 6",6.8
"apae 6",6.6
"apae 6",7
"apae 6",8.8
"apae 6",7.4
"apae 6",6.4
"apae 6",6.6
"apae 6",5.4
"apae 6",6.4
"apae 6",4.8
"apae 6",5.4
"apae 6",5.4
"apae 6",5.8
"apae 6",5.4
"apae 6",5.4
"apae 6",6.6
"apae 6",5.8
"apae 6",10.4
"apae 6",7.8
"apae 6",12.2
"apae 6",7.8
"apae 6",8.6
"apae 6",8.4
"apae 6",13.2
"apae 6",5.6
"apae 6",7
"apae 6",8.4
"apae 6",6.2
"apae 6",8.4
"apae 6",7.2
"apae 6",6.4
"apae 6",9.4
"apae 6",6.2
"apae 6",9.2
"apae 6",5
"apae 6",6.2
"apae 6",0
"apae 6",8.2
"apae 6",6.6
"apae 6",6
"apae 6",6
"apae 6",5
"apae 6",8
"apae 6",9.8
"apae 6",4.8
"apae 6",4.6
"apae 6",5.8
"apae 6",5.6
"apae 6",4.4
"apae 6",3.8
"apae 6",5.2
"apae 6",6.4
"apae 6",6.2
"apae 6",3.8
"apae 6",7
"apae 6",5.8
"apae 6",6.4
"apae 6",8.2
"apae 6",8.8
"apae 6",8.4
"apae 6",7
