NAME,VALUE
"apel 14",14.8
"apel 14",10.4
"apel 14",7.2
"apel 14",9.8
"apel 14",11
"apel 14",7
"apel 14",8.4
"apel 14",9.4
"apel 14",12.2
"apel 14",8.3
"apel 14",11.6
"apel 14",7.8
"apel 14",5.8
"apel 14",5.8
"apel 14",10.2
"apel 21",17.2
"apel 21",15.4
"apel 21",17.8
"apel 21",18
"apel 21",13
"apel 21",11
"apel 21",13.8
"apel 21",12
"apel 21",17.4
"apel 21",13.4
"apel 21",8
"apel 21",18.6
"apel 21",11.3
"apel 21",11.6
"apel 21",14.9
"apel 21",10.5
"apel 21",9.9
"apel 21",10.8
"apel 21",11.4
"apel 21",11.12
"apel 21",13.4
"apel 21",10.6
"apel 21",11.6
"apel 21",18
"apel 21",21.8
"apel 21",12.8
"apel 21",12.4
"apel 21",9.6
"apel 23",10
"apel 23",10.4
"apel 23",10.2
"apel 23",6.3
"apel 23",11
"apel 23",7.6
"apel 23",9.6
"apel 23",6
"apel 23",5.6
"apel 23",6.8
"apel 23",8.8
"apel 23",6.8
"apel 23",9
"apel 39",10.6
"apel 39",8.4
"apel 39",10.4
"apel 39",7.4
"apel 39",7.6
"apel 39",7.2
"apel 39",7.4
"apel 39",13
"apel 39",11
"apel 39",12
"apel 39",7.9
"apel 39",6.8
"apel 39",11.6
"apel 39",6.5
"apel 39",6.3
"apel 39",18.2
"apel 39",12.4
"apel 39",8.4
"apel 39",10
"apel 39",8.4
"apel 39",14.2
"apel 39",12.2
"apel 39",14.4
"apel 39",6
"apel 39",7
