NAME,VALUE
"bgal 24",18
"bgal 24",14.8
"bgal 24",9.4
"bgal 24",7.2
"bgal 24",7.8
"bgal 24",6.6
"bgal 24",6.2
"bgal 24",11.2
"bgal 24",11.2
"bgal 24",12.2
"bgal 24",7.8
"bgal 24",4.8
"bgal 24",11.2
"bgal 24",11
"bgal 24",12.4
"bgal 24",7.8
"bgal 24",6.2
"bgal 24",6.2
"bgal 24",6.6
"bgal 24",6.8
"bgal 24",6.6
"bgal 24",9.6
"bgal 24",8.2
"bgal 24",9
"bgal 24",4.8
"bgal 24",5.8
"bgal 24",4.8
"bgal 24",3.2
"bgal 24",3.2
"bgal 24",9
"bgal 24",5.4
"bgal 24",4.2
"bgal 24",5.6
"bgal 24",8.2
"bgal 24",9.2
"bgal 24",8.2
"bgal 24",5.6
"bgal 24",6.6
"bgal 24",4.4
"bgal 24",9.6
"bgal 24",11.2
"bgal 24",9
"bgal 24",8.8
"bgal 24",9.2
"bgal 27",24.2
"bgal 27",24.4
"bgal 27",20
"bgal 27",17.2
"bgal 27",14.6
"bgal 27",17
"bgal 27",18.2
"bgal 27",15.4
"bgal 27",20.8
"bgal 27",13.4
"bgal 27",14.4
"bgal 27",13.8
"bgal 27",13.4
"bgal 27",16.2
"bgal 27",12.4
"bgal 27",14
"bgal 27",12.6
"bgal 27",13.8
"bgal 27",12.6
"bgal 27",8.8
"bgal 27",15.2
"bgal 27",11.8
"bgal 27",14
"bgal 27",16.2
"bgal 27",12.8
"bgal 27",19.8
"bgal 27",21.2
"bgal 27",14.4
"bgal 27",11.4
"bgal 27",9.4
"bgal 27",13.2
"bgal 27",11
"bgal 27",14
"bgal 27",19.6
"bgal 27",21.2
"bgal 27",17.8
"bgal 27",20.6
"bgal 27",16
"bgal 27",14
"bgal 27",22.8
"bgal 27",13.8
"bgal 27",18.4
"bgal 27",15.4
"bgal 27",14.2
"bgal 27",15.4
"bgal 27",13
"bgal 27",15
"bgal 27",13.8
"bgal 27",8.8
"bgal 27",7.2
"bgal 27",9.8
"bgal 27",9
"bgal 27",8.6
"bgal 27",11
"bgal 27",11.6
"bgal 27",8.6
"bgal 27",12
"bgal 27",10.6
"bgal 27",8.6
"bgal 27",10.2
"bgal 27",10.2
"bgal 27",8
"bgal 27",12.4
"bgal 27",6.8
"bgal 27",10.4
"bgal 27",10.2
"bgal 27",11.4
"bgal 27",9.4
"bgal 27",9.2
"bgal 27",9
"bgal 27",8
"bgal 27",8.8
"bgal 27",10.6
"bgal 27",17
"bgal 27",12
"bgal 27",11.2
"bgal 27",10.6
"bgal 27",9.4
"bgal 27",10.6
"bgal 27",7.8
"bgal 27",10.8
"bgal 27",10.2
"bgal 27",8
"bgal 27",10.6
"bgal 27",12
"bgal 27",9.4
"bgal 27",11.6
"bgal 27",14.4
"bgal 27",15.8
"bgal 27",11.6
"bgal 27",13.2
"bgal 27",9.4
"bgal 27",11.2
"bgal 28",12.8
"bgal 28",10.2
"bgal 28",11.2
"bgal 28",10
"bgal 28",10.2
"bgal 28",6.2
"bgal 28",12
"bgal 28",12.6
"bgal 28",8
"bgal 28",16
"bgal 28",10.2
"bgal 28",11.2
"bgal 28",11.4
"bgal 28",7.6
"bgal 28",9.6
"bgal 28",9.6
"bgal 28",7
"bgal 28",6
"bgal 28",5.2
"bgal 28",4.8
"bgal 28",8
"bgal 28",6
"bgal 28",6.2
"bgal 28",8.6
"bgal 28",7.6
"bgal 28",7.8
"bgal 28",3.8
"bgal 28",3.4
"bgal 28",5.4
"bgal 28",4
"bgal 28",4.4
"bgal 28",6
"bgal 28",5.4
"bgal 28",4
"bgal 28",4.4
"bgal 28",6
"bgal 28",9.2
"bgal 28",10.2
"bgal 28",6.4
"bgal 28",7
"bgal 28",10.4
"bgal 28",6.6
"bgal 28",9.2
"bgal 28",9.2
"bgal 28",10
"bgal 28",7.4
"bgal 28",6.8
"bgal 28",6
"bgal 28",9.6
"bgal 28",11
"bgal 28",6.6
"bgal 37",6.6
"bgal 37",5.8
"bgal 37",4.8
"bgal 37",9.2
"bgal 37",5.6
"bgal 37",6.2
"bgal 37",5.6
"bgal 37",4.2
"bgal 37",5.4
"bgal 37",4
"bgal 37",6.4
"bgal 37",5.8
"bgal 37",7.6
"bgal 37",7.6
"bgal 37",8.2
"bgal 37",6.8
"bgal 37",7.4
"bgal 37",5.2
"bgal 37",9.6
"bgal 37",6
"bgal 37",7.2
"bgal 37",6.4
"bgal 37",9.8
"bgal 37",8.2
"bgal 37",2.8
"bgal 37",3.6
"bgal 37",3.4
"bgal 37",2.6
"bgal 37",4.4
"bgal 37",3.2
"bgal 37",6.2
"bgal 37",6.8
"bgal 37",10.6
"bgal 37",8.2
"bgal 37",6.8
"bgal 37",8
"bgal 37",6
"bgal 37",5.6
"bgal 37",6.2
"bgal 37",4.6
"bgal 37",6.6
"bgal 37",5.2
"bgal 37",6.6
"bgal 37",7.6
"bgal 37",6
"bgal 37",4.2
"bgal 37",6.4
"bgal 37",4.8
"bgal 37",7.8
"bgal 37",6.2
"bgal 37",7
