NAME,VALUE
"bp 1",15.2
"bp 1",5.8
"bp 1",4.8
"bp 1",6.2
"bp 1",3.8
"bp 1",7.6
"bp 1",7.4
"bp 1",4.8
"bp 1",4
"bp 1",5.8
"bp 1",6.2
"bp 1",3.6
"bp 1",5
"bp 10",10.8
"bp 10",8.4
"bp 10",10.4
"bp 10",9.2
"bp 10",11.2
"bp 10",6.6
"bp 10",4.4
"bp 10",12.6
"bp 10",6
"bp 10",8.2
"bp 10",7
"bp 10",11.4
"bp 10",12.8
"bp 10",11.2
"bp 10",8
"bp 10",9.8
"bp 10",7.2
"bp 10",8
"bp 10",5.8
"bp 10",5.6
"bp 10",5
"bp 10",12.4
"bp 10",15.6
"bp 10",9.2
"bp 10",6.8
"bp 10",9.6
"bp 10",7
"bp 10",7.6
"bp 10",6.2
"bp 10",7.4
"bp 10",7.2
"bp 13",13.4
"bp 13",5.6
"bp 13",7.8
"bp 13",4.8
"bp 13",3.2
"bp 13",3.8
"bp 13",12.8
"bp 14",16.8
"bp 14",13.6
"bp 14",14.4
"bp 14",17.2
"bp 14",13.2
"bp 14",11.4
"bp 14",6.6
"bp 14",7.4
"bp 14",10
"bp 14",11.4
"bp 14",13.6
"bp 14",9
"bp 14",12
"bp 14",6.6
"bp 14",4.6
"bp 14",3.6
"bp 14",14
"bp 16",14.4
"bp 16",10
"bp 16",11.4
"bp 16",7.8
"bp 16",9
"bp 16",6.8
"bp 16",13
"bp 16",13.4
"bp 16",13
"bp 16",6.2
"bp 16",13.8
"bp 16",11.2
"bp 16",9
"bp 16",8
"bp 19",10.6
"bp 19",7.4
"bp 19",11.2
"bp 19",9.2
"bp 19",6.8
"bp 19",5.8
"bp 2",11.8
"bp 2",12.2
"bp 2",9.6
"bp 2",6
"bp 2",5.4
"bp 2",13
"bp 2",8.8
"bp 2",6.4
"bp 2",7.6
"bp 2",6
"bp 2",9.4
"bp 2",10.2
"bp 2",11.6
"bp 2",9.6
"bp 2",6.4
"bp 3",9
"bp 3",8.4
"bp 3",5
"bp 3",4.4
"bp 3",5.4
"bp 3",6.8
"bp 3",8.8
"bp 3",5.4
"bp 3",5.8
"bp 3",4.2
"bp 4",19.2
"bp 4",13
"bp 4",11
"bp 4",9.8
"bp 4",8.2
"bp 4",8
"bp 4",11.4
"bp 4",7.8
"bp 4",7.6
"bp 4",8
"bp 5",15.2
"bp 5",19.4
"bp 5",20
"bp 5",10.8
"bp 5",9.4
"bp 5",13.4
"bp 5",6.6
"bp 5",5
"bp 5",6.6
"bp 5",6.8
"bp 5",10.4
"bp 5",9
"bp 5",7.2
"bp 5",9.2
"bp 5",8.8
"bp 5",8.8
"bp 5",13
"bp 5",9
"bp 5",11
"bp 5",11.4
"bp 7",5.4
"bp 7",8
"bp 7",6.6
"bp 7",6.8
"bp 7",7
"bp 7",6.4
"bp 7",6.8
"bp 7",6.4
"bp 8",8.4
"bp 8",6.6
"bp 8",8.2
"bp 8",7
"bp 8",10
"bp 8",7.8
"bp 8",7
"bp 8",6.8
"bp 8",14.6
"bp 8",8.4
"bp 8",6.2
"bp 8",8
"bp 8",8.2
"bp 9",13.6
"bp 9",8
"bp 9",6.4
"bp 9",7.6
"bp 9",9.4
"bp 9",15.2
"bp 9",10
"bp 9",6.4
"bp 9",6.8
"bp 9",9.6
