NAME,VALUE
"pg 29",15.4
"pg 29",15.8
"pg 29",14.4
"pg 29",15.2
"pg 29",15
"pg 29",14.6
"pg 29",14.4
"pg 29",11.4
"pg 29",12
"pg 29",15.2
"pg 29",10.8
"pg 29",11.4
"pg 29",12
"pg 29",12
"pg 29",10.4
"pg 29",12.8
"pg 29",12
"pg 29",12
"pg 29",14.8
"pg 29",11.8
"pg 29",13.2
"pg 29",11
"pg 29",13.8
"pg 29",13
"pg 29",8.8
"pg 29",10
"pg 29",9.8
"pg 29",10
"pg 29",16.8
"pg 29",14.8
"pg 29",13.2
"pg 29",17.8
"pg 29",10.6
"pg 29",12.8
"pg 29",9.4
"pg 29",8.2
"pg 29",11.4
"pg 29",7.8
"pg 29",10.2
"pg 29",8.2
"pg 29",9.8
"pg 29",9.8
"pg 29",11.8
"pg 29",16
"pg 29",9.8
"pg 29",12.4
"pg 29",10.2
"pg 29",9.8
"pg 29",12.4
"pg 29",10.8
"pg 29",14.2
"pg 29",15.6
"pg 29",11
"pg 29",10.6
"pg 29",10
"pg 29",11.6
"pg 29",8.2
"pg 29",9.6
"pg 29",15.6
"pg 29",11.6
"pg 29",17.8
"pg 29",11.8
"pg 29",9.2
"pg 29",8.4
"pg 29",11
"pg 29",11
"pg 29",7.6
"pg 29",14
"pg 29",15.2
"pg 29",13.4
"pg 29",13
"pg 29",8.4
"pg 29",9.2
"pg 29",9.6
"pg 29",15
"pg 29",15.8
"pg 29",16.4
"pg 29",10.8
"pg 29",11.4
"pg 29",8.6
"pg 29",10
"pg 29",9.8
"pg 29",9.2
"pg 29",12.6
"pg 29",13.8
"pg 29",12
"pg 29",10.1
"pg 29",12.2
"pg 29",10.8
"pg 29",13.2
"pg 29",15
"pg 29",12.2
"pg 62",15
"pg 62",17.6
"pg 62",14.2
"pg 62",15.8
"pg 62",15
"pg 62",15.4
"pg 62",15
"pg 62",12.6
"pg 62",17.6
"pg 62",21.8
"pg 62",17.8
"pg 62",11.4
"pg 62",12.4
"pg 62",15.8
"pg 62",15.2
"pg 62",16.2
"pg 62",15.8
"pg 62",12.4
"pg 62",12.4
"pg 62",15.2
"pg 62",11.2
"pg 62",17
"pg 62",13.4
"pg 62",15.8
"pg 62",15.4
"pg 62",15.6
"pg 62",11
"pg 62",13.8
"pg 62",13.8
"pg 62",9.2
"pg 62",12.4
"pg 62",16.4
"pg 62",11
"pg 62",17.2
"pg 62",10
"pg 62",9.8
"pg 62",13
"pg 62",14
"pg 62",10.4
"pg 62",9.2
"pg 62",7.6
"pg 62",8.2
"pg 62",7.4
"pg 62",7.8
"pg 62",12.8
"pg 62",14
"pg 62",14.6
"pg 62",15.6
"pg 62",13.6
"pg 62",10.4
"pg 62",13.4
"pg 62",15.6
"pg 62",13.2
"pg 62",10
"pg 62",9
"pg 62",9.4
"pg 62",9.2
"pg 62",5.6
"pg 62",8.4
"pg 62",8.2
"pg 62",13.2
"pg 62",7.8
"pg 62",11.8
"pg 62",12.6
"pg 62",9.6
"pg 62",9
"pg 62",10.6
"pg 62",14.4
"pg 62",14.8
"pg 62",14.6
"pg 62",11.2
