NAME,VALUE
"pgap 13",13.4
"pgap 13",8.4
"pgap 13",9.8
"pgap 13",9.8
"pgap 13",8
"pgap 13",10.2
"pgap 13",7.2
"pgap 13",11.5
"pgap 13",10.8
"pgap 13",9.2
"pgap 13",14.8
"pgap 13",6.4
"pgap 13",10.2
"pgap 13",6.4
"pgap 13",8
"pgap 13",10.2
"pgap 13",6.2
"pgap 13",9.2
"pgap 13",9.6
"pgap 13",12.2
"pgap 13",8
"pgap 22",12.8
"pgap 22",16.2
"pgap 22",13.2
"pgap 22",13.6
"pgap 22",7.8
"pgap 22",11.2
"pgap 22",11.4
"pgap 22",11.8
"pgap 22",13
"pgap 22",8.2
"pgap 22",8.2
"pgap 22",7.2
"pgap 22",8.4
"pgap 22",6.6
"pgap 22",7.4
"pgap 22",9.2
"pgap 22",7.2
"pgap 22",8.4
"pgap 22",7.4
"pgap 22",5.8
"pgap 22",5.6
"pgap 22",6
"pgap 22",8.2
"pgap 22",10.6
"pgap 22",9.2
"pgap 22",7
"pgap 22",11.6
"pgap 22",8
"pgap 22",8.4
"pgap 33",15
"pgap 33",22.4
"pgap 33",10.6
"pgap 33",14.6
"pgap 33",15.4
"pgap 33",12.4
"pgap 33",12.6
"pgap 33",10.4
"pgap 33",11
"pgap 33",9
"pgap 33",9
"pgap 33",6.6
"pgap 33",7
"pgap 33",6.2
"pgap 33",8
"pgap 33",10
"pgap 33",14.8
"pgap 33",6.6
"pgap 33",9.8
"pgap 33",6
"pgap 33",11.6
"pgap 33",7
"pgap 33",5.8
"pgap 33",14.2
"pgap 33",12
"pgap 33",5.8
"pgap 33",14.2
"pgap 33",9.4
"pgap 35",13.8
"pgap 35",12.8
"pgap 35",14.4
"pgap 35",11.6
"pgap 35",8.6
"pgap 35",11.8
"pgap 35",11
"pgap 35",11
"pgap 35",8.2
"pgap 35",8.6
"pgap 35",8.6
"pgap 35",8.8
"pgap 35",16.2
"pgap 35",8
"pgap 35",13.2
"pgap 35",10.6
"pgap 35",9.2
"pgap 35",12.2
"pgap 35",10.6
"pgap 35",12.2
"pgap 35",15
"pgap 35",11.4
"pgap 35",10.6
"pgap 35",10
"pgap 35",14.2
"pgap 35",8.2
"pgap 35",12.6
"pgap 35",10.6
"pgap 35",12.4
"pgap 35",16.2
"pgap 35",8.4
"pgap 36",12.6
"pgap 36",14.4
"pgap 36",13.8
"pgap 36",12.8
"pgap 36",8.2
"pgap 36",11.8
"pgap 36",10.4
"pgap 36",13.2
"pgap 36",10.8
"pgap 36",11.2
"pgap 36",9.6
"pgap 36",16.6
"pgap 36",11.4
"pgap 36",12.2
"pgap 36",9.4
"pgap 36",8.8
"pgap 36",8.8
"pgap 36",8.6
"pgap 36",11.4
"pgap 36",8.8
"pgap 36",16.2
"pgap 36",12.8
"pgap 36",14.6
"pgap 36",12.8
"pgap 36",10.4
"pgap 36",12.8
"pgap 36",12.4
"pgap 36",15.6
"pgap 36",10
"pgap 36",9.4
"pgap 36",7.2
"pgap 36",7.6
"pgap 36",12
"pgap 36",11
"pgap 36",12.8
"pgap 36",9.2
"pgap 36",13.8
"pgap 36",12
"pgap 36",12.6
"pgap 36",11
"pgap 36",7.2
"pgap 39",12
"pgap 39",16.4
"pgap 39",12.4
"pgap 39",12.4
"pgap 39",13.8
"pgap 39",10.8
